log_date,rom_rev,log_path,duration_min,iat_med,iat_p95,iat_max,ect_med,atm_med,pct_highway,pct_boost,fbkc_fires,fbkc_deep,fbkc_deep_resume,fbkc_min,iam_min,flkc_decrements,flkc_min,flkc_neg_pct,flkc_end_zero,afl_med,afl_end,total_trim_cruise_med,idc_max,idc_p99,maf_v_max
2023-03-31,old_2023_base,logs/Older/3-31 black.csv,6.2,54.0,59.0,64.0,,14.36,8.1,1.97,0,0,0,-1.41,1.0,3,-2.25,0.35,True,2.34,1.56,,95.74,76.6818,4.6
2026-03-21,garn_base,logs/Older/3-21.csv,36.9,46.4,68.0,78.8,,14.36,6.0,0.14,0,0,0,-4.2,1.0,0,-1.0,0.05,True,-3.13,-2.34,-1.5600000000000005,55.86,16.78,3.72
2026-03-30,garn_base,logs/Older/3-30.csv,42.6,64.4,84.2,93.2,,14.36,15.7,0.0,2,1,1,-4.2,1.0,0,0.0,0.0,True,-3.125,-3.125,-2.34375,42.23,17.337799999999987,3.42
2026-04-01,garn_base,logs/Older/4-1.csv,14.2,57.2,71.6,78.8,,14.3647,19.8,0.84,1,0,0,-1.4,1.0,0,0.0,0.0,True,0.0,0.0,0.0,90.26704,35.888605866799814,4.12
2026-04-11,20.7,logs/Older/4-11.csv,27.2,71.6,84.2,93.2,,14.6549,6.2,0.16,4,2,1,-9.45,1.0,0,0.0,0.0,True,-0.78125,-0.78125,0.0,47.9736,25.874306133333327,3.52
2026-04-12,20.7,logs/Older/4-12 big.csv,170.1,62.6,93.2,122.0,,14.8,58.1,0.23,20,2,0,-4.2,1.0,0,0.0,0.0,True,0.0,1.5625,1.5625,67.816,23.19590080000002,3.9
2026-04-23,20.8,logs/April/4-23/log0001.csv,15.7,50.0,66.2,68.0,,14.2196,11.6,0.0,1,0,0,-1.4,1.0,0,0.0,0.0,True,-0.78125,-3.90625,-3.125,33.282133333333334,18.29604000000001,3.16
2026-04-23,20.8,logs/April/4-23/log0002.csv,6.8,62.6,62.6,66.2,,14.2196,25.4,0.0,0,0,0,0.0,1.0,0,0.0,0.0,True,-3.90625,-0.78125,-1.5625,20.015146666666663,15.04530986666667,2.82
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,97.1,57.2,69.8,98.6,,14.2196,29.7,0.42,11,1,1,-4.2,0.5,4,-3.0,0.05,True,-3.125,-2.34375,-1.5625,109.41,27.13,4.32
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,87.7,68.0,107.6,114.8,,14.3647,35.9,0.3,4,0,0,-2.8,1.0,0,0.0,0.0,True,-0.78125,-2.34375,-1.5625,81.3024,24.58544,4.02
2026-04-27,20.10,logs/April/4-27 20.10/4-27.csv,23.9,62.6,80.6,87.8,,14.51,11.3,0.05,3,1,1,-7.0,1.0,0,0.0,0.0,True,0.0,-3.125,-0.78125,48.41,21.583199999999923,3.5
2026-05-02,20.10,logs/5-2/5-2.csv,58.4,57.2,80.6,89.6,,14.36,9.6,0.24,6,1,1,-4.2,1.0,0,0.0,0.0,True,-1.56,-1.56,-1.56,90.53,22.281699999999983,4.12
2026-05-08,20.11,logs/5-8 20.11/5-8.csv,29.9,64.4,118.4,120.2,,14.22,6.6,0.44,9,1,1,-4.2,1.0,0,0.0,0.0,True,0.0,0.0,-0.78,94.94,30.03899999999994,4.2
2026-05-10,20.11,logs/5-10 20.11/log0003.csv,7.3,55.4,59.0,64.4,,14.36,31.5,2.23,0,0,0,0.0,1.0,14,-1.0,0.75,True,-1.56,-2.34,-0.78,91.1217066666667,64.01950933333326,4.12
2026-05-11,20.11,logs/5-11 20.11/log0001.csv,15.8,46.4,51.8,55.4,,14.36,19.8,0.68,6,0,0,-2.1,1.0,5,-1.0,0.16,True,-1.56,0.0,-1.5599999999999998,104.61888,26.8109018666667,4.38
