rpm_bp,load_bp,n_logs,total_samples,strict_n,strict_pct,active_n,active_pct,above_1pct_strict
2200,0.9,35,3354592,5273,0.6499,10404,0.3692,False
2200,1.0,35,3354592,6722,0.8284,12744,0.4522,False
2200,1.1,35,3354592,2169,0.2673,6620,0.2349,False
2200,1.2,35,3354592,502,0.0619,5603,0.1988,False
2200,1.3,35,3354592,64,0.0079,2358,0.0837,False
2200,1.5,35,3354592,1,0.0001,249,0.0088,False
2200,1.75,35,3354592,0,0.0,61,0.0022,False
2200,2.0,35,3354592,0,0.0,10,0.0004,False
2200,2.25,35,3354592,0,0.0,0,0.0,False
2200,2.5,35,3354592,0,0.0,0,0.0,False
2200,3.5,35,3354592,0,0.0,0,0.0,False
2200,4.0,35,3354592,0,0.0,0,0.0,False
2500,0.2,35,3354592,23003,2.835,88586,3.1432,True
2500,0.3,35,3354592,28481,3.5101,66065,2.3441,True
2500,0.5,35,3354592,39342,4.8487,69073,2.4509,True
2500,0.6,35,3354592,14233,1.7541,25839,0.9168,True
2500,0.7,35,3354592,11388,1.4035,23208,0.8235,True
2500,0.8,35,3354592,8187,1.009,18292,0.649,True
2500,0.9,35,3354592,6849,0.8441,18304,0.6495,False
2500,1.0,35,3354592,5254,0.6475,15611,0.5539,False
2500,1.1,35,3354592,3588,0.4422,16121,0.572,False
2500,1.2,35,3354592,984,0.1213,10877,0.3859,False
2500,1.3,35,3354592,131,0.0161,5294,0.1878,False
2500,1.5,35,3354592,38,0.0047,1704,0.0605,False
2500,1.75,35,3354592,0,0.0,269,0.0095,False
2500,2.0,35,3354592,0,0.0,10,0.0004,False
2500,2.25,35,3354592,0,0.0,0,0.0,False
2500,2.5,35,3354592,0,0.0,0,0.0,False
2500,3.5,35,3354592,0,0.0,0,0.0,False
2500,4.0,35,3354592,0,0.0,0,0.0,False
2800,0.2,35,3354592,25217,3.1079,88635,3.145,True
2800,0.3,35,3354592,24775,3.0534,63688,2.2598,True
2800,0.5,35,3354592,32102,3.9564,65801,2.3348,True
2800,0.6,35,3354592,12261,1.5111,28639,1.0162,True
2800,0.7,35,3354592,9692,1.1945,26307,0.9334,True
2800,0.8,35,3354592,9994,1.2317,31972,1.1344,True
2800,0.9,35,3354592,6231,0.7679,22755,0.8074,False
2800,1.0,35,3354592,7491,0.9232,29614,1.0508,False
2800,1.1,35,3354592,2871,0.3538,19401,0.6884,False
2800,1.2,35,3354592,734,0.0905,9871,0.3502,False
2800,1.3,35,3354592,174,0.0214,6513,0.2311,False
2800,1.5,35,3354592,94,0.0116,3862,0.137,False
2800,1.75,35,3354592,2,0.0002,1105,0.0392,False
2800,2.0,35,3354592,0,0.0,517,0.0183,False
2800,2.25,35,3354592,0,0.0,78,0.0028,False
2800,2.5,35,3354592,0,0.0,0,0.0,False
2800,3.5,35,3354592,0,0.0,0,0.0,False
2800,4.0,35,3354592,0,0.0,0,0.0,False
3000,0.2,35,3354592,23970,2.9542,98993,3.5125,True
3000,0.3,35,3354592,26454,3.2603,79020,2.8038,True
3000,0.5,35,3354592,34282,4.2251,81189,2.8808,True
3000,0.6,35,3354592,19636,2.42,49010,1.739,True
3000,0.7,35,3354592,23476,2.8933,63805,2.2639,True
3000,0.8,35,3354592,17986,2.2167,50542,1.7933,True
3000,0.9,35,3354592,19016,2.3436,66143,2.3469,True
