rom_rev,log_path,start_time,n_events,n_signals,signal_set,dominant_signal,rpm_mean,load_mean,app_mean,throttle_mean
20.12,logs/5-17 20.12/log0002.csv,4670.16,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2611.0,0.19604779425922852,0.0,7.84
20.12,logs/5-17 20.12/log0002.csv,4690.84,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2742.5,0.1827932723474025,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,4699.36,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2637.0,0.1839745318520135,0.59,7.84
20.12,logs/5-17 20.12/log0002.csv,4733.04,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2501.5,0.1873294015151455,0.0,7.84
20.12,logs/5-17 20.12/log0002.csv,4759.52,2,2,afr_osc+throttle_hunt_at_steady_app,throttle_hunt_at_steady_app,2327.5,0.198486062211312,0.0,7.45
20.12,logs/5-17 20.12/log0002.csv,4773.4,2,2,afr_osc+ffb_wbo2_divergence,afr_osc,2705.0,0.185451520473242,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,4907.16,2,2,avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,2944.5,0.2120400016004675,3.1399999999999997,10.195
20.12,logs/5-17 20.12/log0002.csv,5009.76,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2896.0,0.190515719660548,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,5029.52,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2823.0,0.18226468396040402,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,5039.92,3,3,afr_osc+avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,2874.3333333333335,0.2005634233531187,1.0433333333333332,9.020000000000001
20.12,logs/5-17 20.12/log0002.csv,5275.16,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,3157.5,0.175603148667731,0.0,8.63
20.12,logs/5-17 20.12/log0002.csv,5276.52,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,3096.0,0.180256218357913,0.39,8.63
20.12,logs/5-17 20.12/log0002.csv,5298.28,3,3,afr_osc+avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,3125.3333333333335,0.179891128367207,0.0,8.63
20.12,logs/5-17 20.12/log0002.csv,5320.08,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2703.5,0.1873488341726775,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,5343.36,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2853.0,0.1978942156004815,0.0,8.435
20.12,logs/5-17 20.12/log0002.csv,5389.84,2,2,ffb_wbo2_divergence+timing_osc,timing_osc,3014.0,0.1759724580709635,0.0,8.63
20.12,logs/5-17 20.12/log0002.csv,5394.96,2,2,afr_osc+avcs_oscillation,avcs_oscillation,2783.0,0.195352711804325,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,5419.76,2,2,ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,3630.0,0.165477338476374,0.0,9.41
20.12,logs/5-17 20.12/log0002.csv,5433.8,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,3124.5,0.1833253569338955,0.0,8.63
20.12,logs/5-17 20.12/log0002.csv,5451.8,2,2,ffb_wbo2_divergence+throttle_hunt_at_steady_app,throttle_hunt_at_steady_app,4687.0,0.19626886819210698,0.0,12.745000000000001
20.12,logs/5-17 20.12/log0002.csv,5464.52,2,2,afr_osc+avcs_oscillation,avcs_oscillation,2450.0,0.3889769770660515,7.845,12.945
20.12,logs/5-17 20.12/log0002.csv,5473.36,2,2,ffb_wbo2_divergence+timing_osc,timing_osc,2867.5,0.1867766632206065,0.98,8.435
20.12,logs/5-17 20.12/log0002.csv,5524.2,2,2,avcs_oscillation+timing_osc,timing_osc,2572.0,0.1875527979823445,0.0,7.84
20.12,logs/5-17 20.12/log0002.csv,5719.16,2,2,afr_osc+throttle_hunt_at_steady_app,throttle_hunt_at_steady_app,2841.5,0.18671371868582348,0.0,8.63
20.12,logs/5-17 20.12/log0002.csv,5723.16,2,2,afr_osc+ffb_wbo2_divergence,afr_osc,2746.0,0.1883559818930885,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,5890.52,2,2,afr_osc+avcs_oscillation,afr_osc,2963.0,0.3012205309853335,4.51,11.96
20.12,logs/5-17 20.12/log0002.csv,5902.52,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,3527.5,0.165165591193496,0.0,9.02
20.12,logs/5-17 20.12/log0002.csv,5954.16,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2857.0,0.1912222476853,0.0,8.63
20.12,logs/5-17 20.12/log0002.csv,5987.08,2,2,ffb_wbo2_divergence+timing_osc,timing_osc,2771.0,0.18372326355990948,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,6036.52,3,3,afr_osc+avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,3218.6666666666665,0.175859609228918,0.0,8.63
20.12,logs/5-17 20.12/log0002.csv,6064.92,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,rpm_swing_steady_tps,1380.0,0.277414026816088,0.0,6.27
20.12,logs/5-17 20.12/log0002.csv,6082.8,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2060.0,0.222842577982765,0.0,7.06
20.12,logs/5-17 20.12/log0002.csv,6100.8,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,rpm_swing_steady_tps,1489.0,0.242297528395797,0.0,5.88
20.12,logs/5-17 20.12/log0002.csv,6155.32,2,2,ffb_wbo2_divergence+throttle_hunt_at_steady_app,throttle_hunt_at_steady_app,2671.0,0.18679997444948798,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,6159.24,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,ffb_wbo2_divergence,1242.0,0.25186050011156247,0.0,5.1
20.12,logs/5-17 20.12/log0002.csv,6179.6,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,rpm_swing_steady_tps,1652.0,0.240491935133993,0.0,6.67
20.12,logs/5-17 20.12/log0002.csv,6233.28,2,2,avcs_oscillation+timing_osc,timing_osc,1992.5,0.324250818747644,4.51,9.805
20.12,logs/5-17 20.12/log0002.csv,6266.2,2,2,avcs_oscillation+ffb_wbo2_divergence,ffb_wbo2_divergence,2248.0,0.274358283619455,3.73,9.61
20.12,logs/5-17 20.12/log0002.csv,6273.28,3,3,avcs_oscillation+ffb_wbo2_divergence+timing_osc,avcs_oscillation,2349.0,0.23528136308471134,0.9133333333333334,8.63
20.12,logs/5-17 20.12/log0002.csv,6274.28,3,3,avcs_oscillation+ffb_wbo2_divergence+timing_osc,avcs_oscillation,2278.3333333333335,0.20331906124444898,0.0,7.84
20.12,logs/5-17 20.12/log0002.csv,6341.8,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,ffb_wbo2_divergence,1633.5,0.554307592813314,11.370000000000001,12.55
20.12,logs/5-17 20.12/log0002.csv,6354.52,2,2,afr_osc+avcs_oscillation,avcs_oscillation,2069.5,0.22051123302786052,0.39,7.449999999999999
20.12,logs/5-17 20.12/log0002.csv,6355.24,2,2,avcs_oscillation+ffb_wbo2_divergence,ffb_wbo2_divergence,2027.5,0.233726417871013,0.785,7.845000000000001
20.12,logs/5-17 20.12/log0002.csv,6358.2,2,2,avcs_oscillation+timing_osc,timing_osc,1877.5,0.2365592349341165,0.0,7.0600000000000005
20.12,logs/5-17 20.12/log0002.csv,6369.64,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,ffb_wbo2_divergence,1603.5,0.250582127410548,0.0,6.67
20.12,logs/5-17 20.12/log0002.csv,6406.28,2,2,avcs_oscillation+ffb_wbo2_divergence,ffb_wbo2_divergence,2715.0,0.176935654955249,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,6409.92,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,1713.0,0.238762214567173,0.0,6.67
20.12,logs/5-17 20.12/log0002.csv,6429.96,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,ffb_wbo2_divergence,1146.0,0.2642042748690365,0.0,5.1
20.12,logs/5-17 20.12/log0002.csv,6438.76,3,3,afr_osc+avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,2793.0,0.17259133755115896,0.0,8.24
20.12,logs/5-17 20.12/log0002.csv,6447.56,3,3,avcs_oscillation+ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,2328.0,0.23129530946242335,3.0066666666666664,9.15
20.12,logs/5-17 20.12/log0002.csv,6474.96,2,2,avcs_oscillation+ffb_wbo2_divergence,ffb_wbo2_divergence,2223.0,0.2931983089858675,4.51,10.585
20.12,logs/5-17 20.12/log0002.csv,6489.32,3,3,avcs_oscillation+ffb_wbo2_divergence+timing_osc,avcs_oscillation,2521.6666666666665,0.18475640795811832,0.0,7.84
20.12,logs/5-17 20.12/log0002.csv,6494.96,2,2,ffb_wbo2_divergence+timing_osc,ffb_wbo2_divergence,1648.5,0.23767474083968299,0.0,6.67
20.12,logs/5-17 20.12/log0002.csv,6525.8,2,2,afr_osc+ffb_wbo2_divergence,ffb_wbo2_divergence,2498.0,0.193441893896233,1.175,8.235
20.12,logs/5-17 20.12/log0002.csv,6526.64,2,2,avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,2529.0,0.23468530317380598,2.35,9.41
20.12,logs/5-17 20.12/log0002.csv,6536.32,2,2,ffb_wbo2_divergence+timing_osc,timing_osc,1738.5,0.2383746578142155,0.0,6.67
20.12,logs/5-17 20.12/log0002.csv,6548.68,2,2,ffb_wbo2_divergence+timing_osc,timing_osc,2133.0,0.2150632747082305,0.0,7.45
20.12,logs/5-17 20.12/log0002.csv,6555.0,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,ffb_wbo2_divergence,1475.5,0.260931034532281,0.0,6.275
20.12,logs/5-17 20.12/log0002.csv,6563.08,2,2,avcs_oscillation+ffb_wbo2_divergence,avcs_oscillation,1799.0,0.298811704413646,1.175,8.43
20.12,logs/5-17 20.12/log0002.csv,6563.72,2,2,avcs_oscillation+timing_osc,timing_osc,1798.0,0.2488155598867695,0.0,7.0600000000000005
20.12,logs/5-17 20.12/log0002.csv,6600.24,2,2,avcs_oscillation+timing_osc,timing_osc,2248.0,0.2429247452180815,0.39,8.04
20.12,logs/5-17 20.12/log0002.csv,6627.8,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,ffb_wbo2_divergence,1255.0,0.298546685561329,0.0,6.074999999999999
20.12,logs/5-17 20.12/log0002.csv,6649.48,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,ffb_wbo2_divergence,1302.5,0.2572115753119675,0.0,5.1
20.12,logs/5-17 20.12/log0002.csv,6680.52,2,2,ffb_wbo2_divergence+throttle_hunt_at_steady_app,throttle_hunt_at_steady_app,1576.5,0.24326469888866,0.0,6.67
20.12,logs/5-17 20.12/log0002.csv,6696.0,2,2,ffb_wbo2_divergence+rpm_swing_steady_tps,ffb_wbo2_divergence,2000.5,0.2570802988013925,1.7650000000000001,8.235
