log_date,rom_rev,log_path,mafv_bin,mafgs_bin,sample_count,mean_correction,median_correction,std_co,std_correction
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.81,6.565505,1,-0.78,-0.78,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.81,9.9646,1,-7.81,-7.81,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.81,11.0771,1,-3.13,-3.13,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.81,12.5195,169,-1.87698224852071,-2.34,,5.1405496746959205
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.81,15.00816,1998,-2.654864864864865,-3.13,,4.162269222957989
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.81,15.6572,1431,-2.156813417190776,-3.13,,3.5149615948704582
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.81,17.54912,1,-7.81,-7.81,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.81,20.13153,1,-6.25,-6.25,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.85,11.0771,1,9.38,9.38,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.85,12.5195,6,-1.9533333333333327,-2.345,,3.487157390578559
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.85,15.00816,72,-2.9959722222222225,-3.13,,4.54104742515726
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.85,15.6572,2567,-2.716486170627191,-2.34,,4.106396541806173
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.85,17.54912,2368,-1.5797677364864864,-2.34,,3.946075415382311
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.85,20.13153,2,-1.17,-1.17,,0.551543289325507
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.91,9.456532,1,-5.47,-5.47,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.91,12.5195,1,-3.13,-3.13,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.91,15.00816,2,-1.955,-1.955,,1.6617009357883863
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.91,15.6572,18,-2.170555555555556,-2.345,,4.599600330747704
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.91,17.54912,2313,-2.3625767401642888,-2.34,,4.121248217427462
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.91,20.13153,939,-2.291618743343983,-2.34,,3.1821955280919907
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.91,22.0675,1,-3.13,-3.13,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.9888,15.6572,1,0.0,0.0,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.9888,17.54912,67,-1.9826865671641791,-3.13,,4.745926030304292
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.9888,20.13153,2158,-2.295129749768304,-2.34,,3.5912123282905526
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.9888,22.0675,554,-2.09898916967509,-2.34,,3.1057367539269376
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.05,12.5195,1,-1.56,-1.56,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.05,15.6572,1,-3.91,-3.91,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.05,20.13153,171,-2.430994152046784,-3.13,,4.756639403782113
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.05,22.0675,3182,-2.0135355122564422,-2.34,,3.715392340915139
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.05,24.28007,1660,-0.7980361445783133,-0.78,,3.489715640112164
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.1152,20.13153,3,-1.82,-1.56,,0.4503332099679079
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.1152,22.0675,22,-1.0304545454545455,-2.735,,5.758098625722711
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.1152,24.28007,2267,-0.6587207763564181,-0.78,,3.9952876859926376
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.1152,27.4473,917,-1.050425299890949,-1.56,,3.829875055559031
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.1152,30.91469,3,-3.6466666666666665,-5.47,,3.158105972467253
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.1682,24.28007,31,-1.8148387096774192,-1.56,,5.2811727680934295
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.1682,27.4473,2650,-1.313143396226415,-1.56,,4.129105391108721
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.1682,30.91469,860,-1.4920232558139537,-1.56,,3.7725399403215305
