log_date,rom_rev,log_path,cam_at_box_med,cam_n,cusp_res_min,cusp_fires,cusp_deep,deep_per_min,iat_med
2023-03-31,old_2023_base,logs/Older/3-31 black.csv,,8,0.06,0,0,,54.0
2026-03-21,garn_base,logs/Older/3-21.csv,20.0,879,1.1,3,0,0.0,46.4
2026-03-30,garn_base,logs/Older/3-30.csv,20.0,1929,1.56,1,0,0.0,64.4
2026-04-01,garn_base,logs/Older/4-1.csv,20.0,600,0.51,0,0,,57.2
2026-04-11,20.7,logs/Older/4-11.csv,19.0,94,0.57,3,2,,71.6
2026-04-12,20.7,logs/Older/4-12 big.csv,20.0,10780,6.26,8,1,0.16,62.6
2026-04-23,20.8,logs/April/4-23/log0001.csv,20.0,396,0.3,0,0,,50.0
