rom_rev,logs,ramp_min,n,per_min,med_lean,p90_lean,fbkc_follow_pct
garn_base,3,0.3026666666666667,42,138.76651982378854,7.377400000000001,10.338147,2.380952380952381
20.7,2,1.854666666666667,139,74.94608195542774,7.126199999999999,8.396960000000002,2.877697841726619
20.8,3,0.8706666666666667,114,130.9341500765697,7.249350000000001,8.86719,1.7543859649122806
20.9,1,0.2693333333333333,38,141.0891089108911,7.686450000000002,10.777648000000006,5.263157894736842
20.10,2,0.286,46,160.83916083916083,8.179100000000002,10.965,6.521739130434782
20.11,6,0.5333333333333333,88,165.0,7.665,9.832,3.4090909090909087
20.12,6,3.454,362,104.80602200347424,7.46,8.889000000000001,0.8287292817679558
20.13,1,2.3233333333333333,209,89.95695839311334,7.410000000000002,8.82,1.4354066985645932
20.14,3,3.576,293,81.9351230425056,7.19,8.72,0.6825938566552902
20.15,3,2.686,252,93.81980640357408,7.479999999999999,8.878110000000003,3.571428571428571
20.16,1,0.2566666666666666,42,163.63636363636363,7.915,10.354,2.380952380952381
20.17,1,0.3533333333333333,42,118.86792452830188,7.589999999999999,9.324,7.142857142857142
20.17a,2,6.112,500,81.80628272251309,7.675,9.542000000000003,3.6
