rpm,mp,current,cl_err,cl_n,ol_err,ol_n,unified_err,n,required_total,proposed,delta
3100,-0.0,3.52,,0,1.34,2367,1.34,2367,4.86,4.69,1.17
3100,1.5,2.34,,0,-8.72,905,-8.72,905,-6.38,-6.25,-8.59
3100,3.0,0.78,,0,-6.21,339,-6.21,339,-5.43,-5.47,-6.25
3100,3.87,0.0,,0,-2.7,268,-2.7,268,-2.7,0.0,0.0
3300,-10.6,0.0,-1.56,1921,-2.32,783,-1.56,2704,-1.56,0.0,0.0
3300,-8.0,0.0,0.78,5343,-3.07,2622,-0.78,7965,-0.78,-0.78,-0.78
3300,-6.0,0.0,3.12,5834,-0.78,3354,1.56,9188,1.56,1.56,1.56
3300,-4.5,-0.39,0.0,1975,1.96,8440,1.56,10415,1.17,1.17,1.56
3300,-3.0,4.3,,0,1.7,11300,1.7,11300,6.0,5.86,1.56
3300,-2.0,4.69,,0,3.95,6035,3.95,6035,8.63,8.59,3.91
3300,-1.0,4.69,,0,2.74,4356,2.74,4356,7.43,7.42,2.73
3300,-0.0,3.12,,0,-4.03,2899,-4.03,2899,-0.91,-0.78,-3.91
3300,1.5,1.95,,0,-8.92,1103,-8.92,1103,-6.97,-7.03,-8.98
3300,3.0,-1.17,,0,-4.24,392,-4.24,392,-5.41,-5.47,-4.3
3300,3.87,0.0,,0,-3.84,558,-3.84,558,-3.84,0.0,0.0
3450,-10.6,0.0,3.12,1172,-1.63,295,2.34,1467,2.34,0.0,0.0
3450,-8.0,-0.78,3.91,3130,-2.56,1721,2.34,4851,1.56,1.56,2.34
3450,-6.0,0.0,5.47,3719,-0.59,3493,2.23,7212,2.23,2.34,2.34
3450,-4.5,4.69,0.79,453,3.54,9643,3.46,10096,8.15,8.2,3.52
3450,-3.0,5.47,,0,3.75,13413,3.75,13413,9.22,9.38,3.91
3450,-2.0,5.08,,0,3.95,8125,3.95,8125,9.03,8.98,3.91
3450,-1.0,5.08,,0,-2.98,4412,-2.98,4412,2.1,1.95,-3.12
3450,-0.0,2.73,,0,-7.72,4165,-7.72,4165,-4.98,-5.08,-7.81
3450,1.5,1.17,,0,-5.93,1806,-5.93,1806,-4.76,-4.69,-5.86
3450,3.0,-1.17,,0,-2.22,553,-2.22,553,-3.39,-3.52,-2.34
3450,3.87,0.0,,0,-3.83,439,-3.83,439,-3.83,0.0,0.0
3600,-10.6,0.0,5.47,481,-2.07,70,4.69,551,4.69,0.0,0.0
3600,-8.0,6.64,0.78,1201,-1.93,686,0.0,1887,6.64,6.64,0.0
3600,-6.0,5.86,0.78,2117,-0.09,3356,0.14,5473,6.0,5.86,0.0
3600,-4.5,6.64,0.0,5,2.85,6647,2.84,6652,9.48,9.38,2.73
3600,-3.0,5.47,,0,3.46,9852,3.46,9852,8.92,8.98,3.52
3600,-2.0,4.69,,0,0.55,5182,0.55,5182,5.24,5.08,0.39
3600,-1.0,2.73,,0,-7.45,3282,-7.45,3282,-4.72,-4.69,-7.42
3600,-0.0,2.34,,0,-6.63,3734,-6.63,3734,-4.28,-4.3,-6.64
3600,1.5,0.39,,0,-3.09,1239,-3.09,1239,-2.7,-2.73,-3.12
3600,3.0,-1.17,,0,-2.65,172,-2.65,172,-3.82,-3.91,-2.73
3600,3.87,0.0,,0,-2.42,413,-2.42,413,-2.42,0.0,0.0
3700,-10.6,0.0,2.34,148,1.88,57,2.34,205,2.34,0.0,0.0
3700,-8.0,6.25,-3.91,315,-2.09,275,-3.18,590,3.07,3.12,-3.12
3700,-6.0,4.69,-3.12,1033,-0.44,1322,-1.38,2355,3.31,3.12,-1.56
3700,-4.5,5.47,,0,2.16,4375,2.16,4375,7.62,7.81,2.34
3700,-3.0,3.52,,0,2.63,4516,2.63,4516,6.14,6.25,2.73
3700,-2.0,2.34,,0,-4.21,3188,-4.21,3188,-1.87,-1.95,-4.3
3700,-1.0,3.91,,0,-8.9,2346,-8.9,2346,-5.0,-5.08,-8.98
3700,-0.0,2.34,,0,-6.52,1800,-6.52,1800,-4.17,-4.3,-6.64
3700,1.5,-0.78,,0,-1.98,913,-1.98,913,-2.76,-2.73,-1.95
3700,3.0,-1.17,,0,-2.48,82,-2.48,82,-3.65,-3.52,-2.34
3700,3.87,0.0,,0,-2.07,136,-2.07,136,-2.07,0.0,0.0
3800,-10.6,0.0,2.34,45,-3.18,15,0.78,60,0.78,0.0,0.0
3800,-8.0,5.08,-5.47,409,-1.63,117,-4.69,526,0.39,0.39,-4.69
3800,-6.0,4.69,-5.47,272,-0.7,601,-2.11,873,2.58,2.73,-1.95
3800,-4.5,5.86,,0,0.19,813,0.19,813,6.05,5.86,0.0
3800,-3.0,3.52,,0,0.85,750,0.85,750,4.37,4.3,0.78
3800,-2.0,3.12,,0,-8.1,676,-8.1,676,-4.97,-5.08,-8.2
3800,-1.0,3.52,,0,-9.75,327,-9.75,327,-6.23,-6.25,-9.77
3800,-0.0,1.17,,0,-4.87,204,-4.87,204,-3.7,-3.52,-4.69
3800,1.5,-1.56,,0,0.35,20,0.35,20,,-1.56,0.0
3800,3.0,-1.17,,0,,0,,0,,-1.17,0.0
3800,3.87,0.0,,0,-0.62,52,-0.62,52,-0.62,0.0,0.0
3900,-10.6,0.0,0.78,12,2.46,20,2.26,32,,0.0,0.0
3900,-8.0,4.69,-6.25,159,-2.11,245,-5.1,404,-0.42,-0.39,-5.08
3900,-6.0,5.47,-7.03,59,-0.96,335,-1.63,394,3.84,3.91,-1.56
3900,-4.5,5.86,,0,-0.97,306,-0.97,306,4.89,5.08,-0.78
3900,-3.0,3.52,,0,-1.89,120,-1.89,120,1.62,1.56,-1.95
3900,-2.0,3.12,,0,-9.32,90,-9.32,90,-6.19,-6.25,-9.38
3900,-1.0,2.34,,0,-3.05,30,-3.05,30,,2.34,0.0
3900,-0.0,1.17,,0,-2.63,64,-2.63,64,-1.45,-1.56,-2.73
3900,1.5,-1.17,,0,0.18,20,0.18,20,,-1.17,0.0
3900,3.0,0.0,,0,-3.53,1,-3.53,1,,0.0,0.0
3900,3.87,0.0,,0,-2.91,46,-2.91,46,,0.0,0.0
4000,-10.6,0.0,-3.91,11,-4.45,25,-4.45,36,,0.0,0.0
4000,-8.0,0.0,-5.08,32,-0.52,212,-1.07,244,-1.07,0.0,0.0
4000,-6.0,0.0,2.34,18,0.41,187,0.63,205,0.63,0.0,0.0
4000,-4.5,0.0,,0,1.95,175,1.95,175,1.95,0.0,0.0
4000,-3.0,0.0,,0,-3.93,127,-3.93,127,-3.93,0.0,0.0
4000,-2.0,0.0,,0,-4.64,115,-4.64,115,-4.64,0.0,0.0
4000,-1.0,0.0,,0,-3.9,102,-3.9,102,-3.9,0.0,0.0
4000,-0.0,0.0,,0,-2.1,87,-2.1,87,-2.1,0.0,0.0
4000,1.5,0.0,,0,-4.43,118,-4.43,118,-4.43,0.0,0.0
4000,3.0,0.0,,0,-6.39,19,-6.39,19,,0.0,0.0
4000,3.87,0.0,,0,-2.08,29,-2.08,29,,0.0,0.0
