,-10.6,-8.0,-6.0,-4.5,-3.0,-2.0,-1.0,0.0,1.5,3.0,3.87
1200,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1600,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2000,0.00,0.00,0.00,0.00,0.00,0.00,5.47,0.00,0.00,0.00,0.00
2400,0.00,0.00,0.00,0.00,0.00,0.00,0.39,1.17,3.12,3.91,0.00
2700,0.00,0.00,0.00,0.00,0.39,0.78,1.17,3.52,3.52,2.73,0.00
2900,0.00,0.00,0.00,0.00,0.00,0.78,3.52,4.30,3.52,2.34,0.00
3100,0.00,0.00,0.00,0.00,0.00,2.34,4.69,4.69,3.52,1.95,0.00
3300,0.00,0.00,0.00,1.17,5.47,6.25,5.86,4.30,3.12,0.00,0.00
3450,0.00,3.12,3.52,5.86,6.64,6.64,6.25,3.91,2.34,0.00,0.00
3600,0.00,6.64,7.81,7.81,6.64,4.69,3.91,3.91,1.56,0.00,0.00
3700,0.00,6.25,7.03,6.64,4.69,3.91,3.91,3.52,0.39,0.00,0.00
3800,0.00,5.08,5.86,5.86,3.52,3.12,3.52,2.34,0.00,0.00,0.00
3900,0.00,5.08,5.86,5.86,3.52,3.12,3.52,2.34,0.00,0.00,0.00
4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
