run_ts,baseline,rom_rev,thread,metric,value,n_events,n_samples,n_pulls,delta_vs_baseline,delta_vs_prior
2026-05-11T00:12:23+00:00,stock,20.9,pedal_throttle,rpm_swing_per_min,0.9010310532558776,79.0,,,-inf,-0.545820163604539
2026-05-11T00:12:23+00:00,stock,20.9,avcs,avcs_osc_per_min,1.0493019860701358,92.0,,,-inf,-0.1299235721802616
2026-05-11T00:12:23+00:00,stock,20.9,timing_sum,fbkc_events_per_min,0.0570272818516378,5.0,,,-inf,-0.0851488492849349
2026-05-11T00:12:23+00:00,stock,20.9,timing_sum,flkc_events_per_min,0.0,0.0,,,-inf,-0.0334532073262524
2026-05-11T00:12:23+00:00,stock,20.9,timing_sum,total_knock_per_min,0.0570272818516378,,,,-inf,-0.1186020566111873
2026-05-11T00:12:23+00:00,stock,20.9,timing_sum,min_fbkc_depth,-2.8,,,,1.4000000000000004,1.4000000000000004
2026-05-11T00:12:23+00:00,stock,20.9,timing_sum,timing_osc_per_min,0.9466528787371878,83.0,,,-inf,-0.1656662648607046
2026-05-11T00:12:23+00:00,stock,20.9,ol_fueling,afr_osc_per_min,0.5360564494053955,47.0,,,-inf,-0.5344461850346814
2026-05-11T00:12:23+00:00,stock,20.9,ol_fueling,ffb_wbo2_div_per_min,1.6994129991788072,149.0,,,-inf,-1.0437500015738903
2026-05-11T00:12:23+00:00,stock,20.9,ol_fueling,maf_corr_mean_pct,-1.017067829789973,,46613.0,,0.3447612823035693,0.7163154008634618
2026-05-11T00:12:23+00:00,stock,20.9,ol_fueling,maf_corr_mean_abs_pct,1.3385986559543477,,46613.0,,-0.5192297124297374,-0.5076295958855277
2026-05-11T00:12:23+00:00,stock,20.9,cross_thread,stutter_signature_per_min,1.1291401806624288,99.0,,,-inf,-0.8529623534180262
2026-05-11T00:12:23+00:00,stock,20.10,pedal_throttle,throttle_hunt_per_min,0.3037199620957487,25.0,,,-inf,0.0642053783188698
2026-05-11T00:12:23+00:00,stock,20.10,pedal_throttle,rpm_swing_per_min,1.6036413998655532,132.0,,,-inf,0.7026103466096756
2026-05-11T00:12:23+00:00,stock,20.10,avcs,avcs_osc_per_min,0.935457483254906,77.0,,,-inf,-0.1138445028152297
2026-05-11T00:12:23+00:00,stock,20.10,timing_sum,fbkc_events_per_min,0.218678372708939,18.0,,,-inf,0.1616510908573012
2026-05-11T00:12:23+00:00,stock,20.10,timing_sum,flkc_events_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.10,timing_sum,total_knock_per_min,0.218678372708939,,,,-inf,0.1616510908573012
2026-05-11T00:12:23+00:00,stock,20.10,timing_sum,min_fbkc_depth,-7.0,,,,-2.8,-4.2
2026-05-11T00:12:23+00:00,stock,20.10,timing_sum,timing_osc_per_min,0.5709935287400075,47.0,,,-inf,-0.3756593499971803
2026-05-11T00:12:23+00:00,stock,20.10,ol_fueling,afr_osc_per_min,0.7532255059974567,62.0,,,-inf,0.2171690565920612
2026-05-11T00:12:23+00:00,stock,20.10,ol_fueling,ffb_wbo2_div_per_min,1.919510160445132,158.0,,,-inf,0.2200971612663247
2026-05-11T00:12:23+00:00,stock,20.10,ol_fueling,maf_corr_mean_pct,-1.9156069866694767,,37958.0,,-0.5537778745759347,-0.898539156879504
2026-05-11T00:12:23+00:00,stock,20.10,ol_fueling,maf_corr_mean_abs_pct,1.9409307655830128,,37958.0,,0.0831023971989277,0.6023321096286651
2026-05-11T00:12:23+00:00,stock,20.10,cross_thread,stutter_signature_per_min,1.3606654301889545,112.0,,,-inf,0.2315252495265254
2026-05-11T00:12:23+00:00,stock,20.11,pedal_throttle,throttle_hunt_per_min,0.6705169238471579,25.0,,,-inf,0.3667969617514092
2026-05-11T00:12:23+00:00,stock,20.11,pedal_throttle,rpm_swing_per_min,2.8429917571119496,106.0,,,-inf,1.2393503572463964
2026-05-11T00:12:23+00:00,stock,20.11,avcs,avcs_osc_per_min,1.4483165555098612,54.0,,,-inf,0.5128590722549551
2026-05-11T00:12:23+00:00,stock,20.11,timing_sum,fbkc_events_per_min,0.3218481234466357,12.0,,,-inf,0.1031697507376966
2026-05-11T00:12:23+00:00,stock,20.11,timing_sum,flkc_events_per_min,0.3754894773544084,14.0,,,-inf,0.3754894773544084
2026-05-11T00:12:23+00:00,stock,20.11,timing_sum,total_knock_per_min,0.6973376008010442,,,,-inf,0.4786592280921051
2026-05-11T00:12:23+00:00,stock,20.11,timing_sum,min_fbkc_depth,-4.2,,,,0.0,2.8
2026-05-11T00:12:23+00:00,stock,20.11,timing_sum,timing_osc_per_min,0.938723693386021,35.0,,,-inf,0.3677301646460135
2026-05-11T00:12:23+00:00,stock,20.11,ol_fueling,afr_osc_per_min,1.609240617233179,60.0,,,-inf,0.8560151112357223
2026-05-11T00:12:23+00:00,stock,20.11,ol_fueling,ffb_wbo2_div_per_min,3.459867327051335,129.0,,,-inf,1.540357166606203
2026-05-11T00:12:23+00:00,stock,20.11,ol_fueling,maf_corr_mean_pct,-0.7471493931805047,,20764.0,,0.6146797189130373,1.168457593488972
2026-05-11T00:12:23+00:00,stock,20.11,ol_fueling,maf_corr_mean_abs_pct,0.869427374301676,,20764.0,,-0.9884009940824088,-1.0715033912813363
2026-05-11T00:12:23+00:00,stock,20.11,cross_thread,stutter_signature_per_min,2.1992955102186778,82.0,,,-inf,0.8386300800297235
2026-05-11T00:12:23+00:00,stock,20.1,pedal_throttle,throttle_hunt_per_min,0.0,0.0,,,-inf,-0.6705169238471579
2026-05-11T00:12:23+00:00,stock,20.1,pedal_throttle,rpm_swing_per_min,0.0,0.0,,,-inf,-2.8429917571119496
2026-05-11T00:12:23+00:00,stock,20.1,avcs,avcs_osc_per_min,0.0,0.0,,,-inf,-1.4483165555098612
2026-05-11T00:12:23+00:00,stock,20.1,timing_sum,timing_osc_per_min,0.0,0.0,,,-inf,-0.938723693386021
2026-05-11T00:12:23+00:00,stock,20.1,wgdc,mean_target_attainment,0.7285170880655274,,,6.0,,
2026-05-11T00:12:23+00:00,stock,20.1,wgdc,mean_peak_mrp,11.253333333333336,,,6.0,,
2026-05-11T00:12:23+00:00,stock,20.1,wgdc,wgdc_pegged_pulls,0.0,,,6.0,,
2026-05-11T00:12:23+00:00,stock,20.1,ol_fueling,afr_osc_per_min,0.0,0.0,,,-inf,-1.609240617233179
2026-05-11T00:12:23+00:00,stock,20.1,ol_fueling,ffb_wbo2_div_per_min,0.0,0.0,,,-inf,-3.459867327051335
2026-05-11T00:12:23+00:00,stock,20.11,pedal_throttle,throttle_hunt_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.11,pedal_throttle,rpm_swing_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.11,avcs,avcs_osc_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.11,timing_sum,timing_osc_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.11,wgdc,mean_target_attainment,0.7871591503705861,,,11.0,,0.0586420623050587
2026-05-11T00:12:23+00:00,stock,20.11,wgdc,mean_peak_mrp,13.847272727272726,,,11.0,,2.59393939393939
2026-05-11T00:12:23+00:00,stock,20.11,wgdc,wgdc_pegged_pulls,0.0,,,11.0,,0.0
2026-05-11T00:12:23+00:00,stock,20.11,ol_fueling,afr_osc_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.11,ol_fueling,ffb_wbo2_div_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.8,pedal_throttle,throttle_hunt_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.8,pedal_throttle,rpm_swing_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.8,avcs,avcs_osc_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.8,timing_sum,timing_osc_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.8,wgdc,mean_target_attainment,0.831825968983463,,,12.0,,0.0446668186128768
2026-05-11T00:12:23+00:00,stock,20.8,wgdc,mean_peak_mrp,12.8,,,12.0,,-1.047272727272727
2026-05-11T00:12:23+00:00,stock,20.8,wgdc,wgdc_pegged_pulls,0.0,,,12.0,,0.0
2026-05-11T00:12:23+00:00,stock,20.8,ol_fueling,afr_osc_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.8,ol_fueling,ffb_wbo2_div_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.9,pedal_throttle,throttle_hunt_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.9,pedal_throttle,rpm_swing_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.9,avcs,avcs_osc_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.9,timing_sum,timing_osc_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.9,wgdc,mean_target_attainment,0.5896524232109547,,,11.0,,-0.2421735457725082
2026-05-11T00:12:23+00:00,stock,20.9,wgdc,mean_peak_mrp,8.940772727272728,,,11.0,,-3.859227272727271
2026-05-11T00:12:23+00:00,stock,20.9,wgdc,wgdc_pegged_pulls,0.0,,,11.0,,0.0
2026-05-11T00:12:23+00:00,stock,20.9,ol_fueling,afr_osc_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:12:23+00:00,stock,20.9,ol_fueling,ffb_wbo2_div_per_min,0.0,0.0,,,-inf,0.0
2026-05-11T00:27:38+00:00,stock,old_2023_base,pedal_throttle,throttle_hunt_per_min,0.0,0.0,,,-0.3519574522546607,
2026-05-11T00:27:38+00:00,stock,old_2023_base,pedal_throttle,rpm_swing_per_min,7.706868577609519,19.0,,,6.032404335064618,
2026-05-11T00:27:38+00:00,stock,old_2023_base,avcs,avcs_osc_per_min,2.43374797187669,6.0,,,1.4631986338411105,
2026-05-11T00:27:38+00:00,stock,old_2023_base,timing_sum,fbkc_events_per_min,0.4056246619794483,1.0,,,0.2883055112278948,
2026-05-11T00:27:38+00:00,stock,old_2023_base,timing_sum,flkc_events_per_min,2.028123309897242,5.0,,,1.9854618005330409,
2026-05-11T00:27:38+00:00,stock,old_2023_base,timing_sum,total_knock_per_min,2.43374797187669,,,,2.273767311760935,
2026-05-11T00:27:38+00:00,stock,old_2023_base,timing_sum,min_fbkc_depth,-1.41,,,,2.79,
2026-05-11T00:27:38+00:00,stock,old_2023_base,timing_sum,timing_osc_per_min,5.273120605732829,13.0,,,4.32390202237935,
2026-05-11T00:27:38+00:00,stock,old_2023_base,ol_fueling,afr_osc_per_min,2.8393726338561387,7.0,,,2.2101153707341696,
2026-05-11T00:27:38+00:00,stock,old_2023_base,ol_fueling,ffb_wbo2_div_per_min,14.602487831260142,36.0,,,12.405420099003774,
2026-05-11T00:27:38+00:00,stock,old_2023_base,ol_fueling,maf_corr_mean_pct,4.622304948729381,,2243.0,,5.984134060822923,
