sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG
0,4.48,10.17,14.70,6.89,255,0.00,-2.34,,169,1.14658753709199,0,25,42.8,3.22,1.24,0.00,11.37,0.00,14.36,14.21,-0.15,-9.02,1,7,0,0,0,0.00,0,0,35.07,4.92469333333333,0
1,4.52,10.17,14.70,6.90,255,0.00,-2.34,,169,1.14658753709199,0,25,42.8,3.22,1.12,0.00,11.76,0.00,14.36,14.21,-0.15,-9.02,1,7,0,0,0,0.00,0,0,35.07,4.92469333333333,0
2,4.56,10.17,14.70,6.90,255,0.00,-2.34,,169,1.14658753709199,0,25,42.8,3.22,1.12,0.00,11.76,0.00,14.36,14.21,-0.15,-9.02,1,7,0,0,0,0.00,0,0,35.07,4.92469333333333,0
3,4.6,10.17,14.70,6.90,255,0.00,-2.34,,169,1.14658753709199,0,25,42.8,3.22,1.2,0.00,11.37,0.00,14.36,14.21,-0.15,-9.02,1,7,0,0,0,0.00,0,0,35.07,4.92469333333333,0
4,4.64,10.17,14.70,6.90,255,0.00,-2.34,,173,1.14616497829233,0,25,42.8,3.3,1.26,0.00,11.76,0.00,14.36,14.07,-0.30,-9.02,1,7,0,0,0,0.00,0,0,35.07,5.04890666666667,0
5,4.68,10.17,14.70,6.90,255,0.00,-2.34,,173,1.14616497829233,0,25,42.8,3.3,1.22,0.00,11.37,0.00,14.36,14.07,-0.30,-9.02,1,7,0,0,0,0.00,0,0,35.07,5.04890666666667,0
6,4.72,10.17,14.70,6.90,255,0.00,-2.34,,408,0.57905695039804,0,25,42.8,3.94,1.28,0.00,11.37,0.00,14.36,13.34,-1.02,-9.02,1,7,0,0,0,0.00,0,0,27.39,9.31898666666667,0
7,4.76,10.17,14.70,6.90,255,0.00,-2.34,,1031,0.328145454545455,0,25,44.6,5.64,1.4,0.00,11.76,0.00,14.36,12.04,-2.33,-9.02,1,7,0,0,0,0.00,0,0,27.39,23.54,0
8,4.8,10.17,14.70,6.90,255,0.00,-2.34,,1217,0.339617991373999,0,25,44.6,6.89,1.52,0.00,11.76,0.00,14.36,11.46,-2.91,-9.02,1,7,0,0,0,0.00,0,0,20.22,20.51472,0
9,4.84,10.17,14.70,6.91,255,0.00,-2.34,,1512,0.336166694228543,0,25,44.6,8.47,1.62,0.00,11.76,0.00,14.36,10.44,-3.92,-8.65,1,7,0,0,0,0.00,0,0,16.38,20.6404266666667,0
10,4.88,21.34,14.70,6.91,255,0.00,-2.34,,1816,0.344603524229075,0,20,44.6,10.43,1.68,0.00,11.37,0.00,14.36,9.14,-5.23,-8.65,1,7,0,0,0,0.00,0,0,12.03,18.2084266666667,0
11,4.92,21.25,14.70,6.93,255,0.00,-2.34,,1937,0.35471795533755,0,20,44.6,11.45,1.72,0.00,11.76,0.00,14.36,8.56,-5.81,-9.19,1,7,0,0,0,0.00,0,0,9.98,16.11376,0
12,4.96,21.12,14.70,6.94,255,0.00,-1.56,,2034,0.360265552003934,0,19.5,44.6,12.21,1.72,0.00,11.76,0.00,14.36,7.98,-6.39,-9.64,1,7,0,0,0,0.00,0,0,7.42,12.5805866666667,0
13,5,21.12,14.70,6.94,255,0.00,-1.56,,2124,0.354561506768688,0,19,44.6,12.55,1.74,0.00,11.76,0.00,14.36,7.25,-7.11,-9.64,1,7,0,0,0,0.00,0,0,5.63,9.96746666666667,0
14,5.04,21.25,14.70,6.94,255,0.00,-1.56,,2169,0.370167146974063,0,18,44.6,13.38,1.76,0.00,11.76,0.00,14.36,6.67,-7.69,-9.64,1,7,0,0,0,0.00,0,0,4.61,8.328,0
15,5.08,21.25,14.70,6.95,255,0.00,-1.56,,2227,0.375614685079151,0,16.5,44.6,13.94,1.78,0.00,11.76,0.00,14.36,6.38,-7.98,-9.64,1,7,0,0,0,0.00,0,0,4.61,8.55072,0
16,5.12,20.91,14.70,6.95,255,0.00,-1.56,,2239,0.373601340033501,0,15,44.6,13.94,1.78,0.00,11.76,0.00,14.36,6.09,-8.27,-9.64,1,7,0,0,0,0.00,0,0,4.61,8.5968,0
17,5.16,21.29,14.70,6.95,255,0.00,-1.56,,2253,0.373942958606148,0,15,44.6,14.04,1.78,0.00,11.76,0.00,14.36,5.80,-8.56,-9.64,1,7,0,0,0,0.00,0,0,4.61,8.65056,0
18,5.2,21.25,14.70,6.95,255,0.00,-1.56,,2242,0.378102352547664,0,14.5,44.6,14.13,1.78,0.00,11.76,0.00,14.36,5.66,-8.71,-9.64,1,7,0,0,0,0.00,0,0,4.61,8.61024,0
19,5.24,21.04,14.70,6.96,255,0.00,-1.56,,2249,0.36705568522841,0,14.5,44.6,13.76,1.78,0.00,11.76,0.00,14.36,5.51,-8.85,-9.64,1,7,0,0,0,0.00,0,0,4.61,8.63712,0
20,5.28,21.04,14.70,7.18,255,0.00,-1.56,,2227,0.368111385582753,0,14.5,44.6,13.66,1.78,0.00,11.76,0.00,14.36,5.37,-9.00,-9.64,1,7,0,0,0,0.00,0,0,4.35,8.07477333333334,0
21,5.32,21.29,14.70,7.18,255,0.00,-1.56,,2219,0.37205948625507,0,14.5,44.6,13.76,1.78,0.00,11.76,0.00,14.36,5.37,-9.00,-9.64,1,7,0,0,0,0.00,0,0,4.35,8.04757333333333,0
22,5.36,21.08,14.70,7.18,255,0.00,-1.56,,2186,0.380189866178657,0,14.5,44.6,13.85,1.78,0.00,11.76,0.00,14.36,5.37,-9.00,-9.64,1,7,0,0,0,0.00,0,0,4.61,8.39328,0
23,5.4,20.62,14.70,7.19,255,0.00,-1.56,,2180,0.383669724770642,0,14,44.6,13.94,1.78,0.00,11.76,0.00,14.36,5.22,-9.14,-9.64,1,7,0,0,0,0.00,0,0,4.35,7.90613333333333,0
24,5.44,21.08,14.70,7.19,255,0.00,-1.56,,2164,0.38936907788306,0,14,44.6,14.04,1.78,0.00,11.76,0.00,14.36,5.22,-9.14,-9.64,1,7,0,0,0,0.00,0,0,4.61,8.30784,0
25,5.48,21.08,14.70,7.19,255,0.00,-1.56,,2126,0.380522230063515,0,14,44.6,13.48,1.78,0.00,11.76,0.00,14.36,5.22,-9.14,-9.64,1,7,0,0,0,0.00,0,0,4.35,7.70848,0
26,5.52,21.04,14.70,7.19,255,0.00,-1.56,,2118,0.381869688385269,0,14,44.6,13.48,1.76,0.00,11.76,0.00,14.36,5.22,-9.14,-9.64,1,7,0,0,0,0.00,0,0,4.35,7.68128,0
27,5.56,21.04,14.70,7.40,255,0.00,-1.56,,2085,0.385082144141984,0,13.5,44.6,13.38,1.76,0.00,11.76,0.00,14.36,5.22,-9.14,-9.64,1,7,0,0,0,0.00,0,0,4.35,7.56069333333333,0
28,5.6,20.53,14.70,7.41,255,0.00,-1.56,,2071,0.390535972959923,0,13.5,44.6,13.48,1.76,0.00,11.76,0.00,14.36,5.22,-9.14,-9.64,1,7,0,0,0,0.00,0,0,4.35,7.51082666666667,0
29,5.64,21.08,14.70,7.41,255,0.00,-1.56,,2056,0.382295719844358,0,13.5,44.6,13.1,1.78,0.00,11.76,0.00,14.36,5.22,-9.14,-9.64,1,7,0,0,0,0.00,0,0,4.35,7.45642666666667,0
30,5.68,21.04,14.70,7.41,255,0.00,-1.56,,2032,0.406349206349206,0,13.5,44.6,13.76,1.78,0.00,11.76,0.00,14.36,5.22,-9.14,-9.64,1,7,0,0,0,0.00,0,0,4.61,7.80192,0
31,5.72,21.08,14.70,7.60,255,0.00,-1.56,,2019,0.394899096199084,0,13.5,44.6,13.29,1.76,0.00,11.76,0.00,14.36,5.22,-9.14,-9.64,1,7,0,0,0,0.00,0,0,4.35,7.32314666666667,0
32,5.76,20.83,14.70,7.60,255,0.00,-1.56,,2011,0.390947525491171,0,13,44.6,13.1,1.76,0.00,11.76,0.00,14.36,5.22,-9.14,-9.64,1,7,0,0,0,0.00,0,0,4.35,7.29141333333333,0
33,5.8,20.91,14.70,7.61,255,0.00,-1.56,,1981,0.396869477404696,0,13,44.6,13.1,1.76,0.00,11.76,0.00,14.36,5.37,-9.00,-9.63,1,7,0,0,0,0.00,0,0,4.35,7.18261333333333,0
34,5.84,20.79,14.70,7.61,255,0.00,-1.56,,1970,0.401827875095202,0,13,44.6,13.19,1.76,0.00,11.76,0.00,14.36,5.37,-9.00,-9.63,1,7,0,0,0,0.00,0,0,4.61,7.56288,0
35,5.88,23.36,14.70,7.61,255,0.00,-1.56,,1962,0.40637023824691,0,13,44.6,13.29,1.78,0.00,11.76,0.00,14.36,5.37,-9.00,-9.56,1,7,0,0,0,0.00,0,0,4.61,7.53504,0
36,5.92,23.31,14.70,7.62,255,0.00,-1.56,,1926,0.408046722907203,0,12.5,44.6,13.1,1.76,0.00,11.76,0.00,14.36,5.37,-9.00,-9.51,1,7,0,0,0,0.00,0,0,4.61,7.3968,0
37,5.96,23.27,14.70,7.62,255,0.00,-1.56,,1795,0.447180058487676,0,12.5,44.6,13.38,1.78,0.00,11.76,0.00,14.36,5.37,-9.00,-9.51,1,7,0,0,0,0.00,0,0,4.61,6.89376,0
38,6,23.15,14.70,7.73,255,0.00,-1.56,,1784,0.453490328006728,0,12.5,44.6,13.48,1.76,0.00,11.76,0.00,14.36,5.51,-8.85,-9.13,1,7,0,0,0,0.00,0,0,4.86,7.22912,0
39,6.04,23.36,14.70,7.63,255,0.00,-1.56,,1775,0.4397127165188,0,12.5,44.6,13.01,1.76,0.00,11.37,0.00,14.36,5.66,-8.71,-9.09,1,7,0,0,0,0.00,0,0,4.86,7.19568,0
40,6.08,23.19,14.70,7.63,255,0.00,-1.56,,1765,0.451912723151034,0,12.5,44.6,13.29,1.76,0.00,11.37,0.00,14.36,5.66,-8.71,-9.09,1,7,0,0,0,0.00,0,0,4.86,7.15210666666667,0
41,6.12,23.19,14.70,7.58,255,0.00,-1.56,,1734,0.443598615916955,0,12.5,44.6,12.82,1.76,0.00,11.37,0.00,14.36,5.66,-8.71,-9.01,1,7,0,0,0,0.00,0,0,5.12,7.3984,0
42,6.16,23.36,14.70,7.58,255,0.00,-1.56,,1728,0.448393632416787,0,12.5,44.6,12.91,1.76,0.00,11.37,0.00,14.36,5.80,-8.56,-9.01,1,7,0,0,0,0.00,0,0,5.12,7.37066666666667,0
43,6.2,23.31,14.70,7.54,255,0.00,-1.56,,1731,0.447551639462661,0,12.5,44.6,12.91,1.76,0.00,11.37,0.00,14.36,5.80,-8.56,-8.97,1,7,0,0,0,0.00,0,0,5.12,7.38453333333333,0
44,6.24,23.31,14.70,7.70,255,0.00,-1.56,,1733,0.463242931332949,0,12.5,44.6,13.38,1.76,0.00,11.37,0.00,14.36,5.80,-8.56,-8.96,1,7,0,0,0,0.00,0,0,5.12,7.39413333333333,0
45,6.28,22.93,14.70,7.70,255,0.00,-1.56,,1712,0.462333868847671,0,12.5,44.6,13.19,1.76,0.00,11.37,0.00,14.36,5.80,-8.56,-8.96,1,7,0,0,0,0.00,0,0,5.12,7.30346666666667,0
46,6.32,23.36,14.70,7.68,255,0.00,-1.56,,1701,0.462149051888873,0,12.5,44.6,13.1,1.76,0.00,11.37,0.00,14.36,5.80,-8.56,-8.93,1,7,0,0,0,0.00,0,0,5.12,7.25653333333333,0
