sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG
0,0.04,23.74,12.75,13.62,90,0.00,-3.13,,808,0.288297213622291,0,14,96.8,3.88,1.24,0.00,4.31,0.00,14.36,4.50,-9.87,-9.04,0,0,0,0,0,0.00,0,0,2.30,1.5504,0
1,0.08,23.74,12.75,13.66,79,0.00,-3.13,,823,0.276306196840826,0,15,96.8,3.79,1.22,0.00,3.92,0.00,14.36,4.50,-9.87,-9.03,1,0,0,0,0,0.00,0,0,2.30,1.58016,0
2,0.12,23.74,12.75,13.66,75,0.00,-3.13,,826,0.275302663438257,0,14.5,96.8,3.79,1.24,0.00,3.92,0.00,14.36,4.50,-9.87,-9.03,1,7,0,0,0,0.00,0,0,2.30,1.58592,0
3,0.16,23.74,12.75,13.66,75,0.00,-3.13,,819,0.274725274725275,0,15.5,96.8,3.75,1.24,0.00,3.92,0.00,14.36,4.50,-9.87,-9.03,1,7,0,0,0,0.00,0,0,2.30,1.57248,0
4,0.2,23.82,12.75,13.67,75,0.00,-3.13,,826,0.272397094430993,0,14.5,96.8,3.75,1.22,0.00,3.92,0.00,14.36,4.50,-9.87,-9.03,1,7,0,0,0,0.00,0,0,2.05,1.40970666666667,0
5,0.24,23.74,12.75,13.67,75,0.00,-3.13,,823,0.273473108477666,0,15,96.8,3.75,1.22,0.00,3.92,0.00,14.36,4.50,-9.87,-9.03,1,7,0,0,0,0.00,0,0,2.05,1.40416,0
6,0.28,23.78,12.75,13.67,72,0.00,-3.13,,821,0.27689497716895,0,15,96.8,3.79,1.2,0.00,3.92,0.00,14.36,4.50,-9.87,-9.03,1,7,0,0,0,0.00,0,0,2.05,1.4016,0
7,0.32,23.69,12.75,13.67,72,0.00,-3.13,,814,0.278057775046097,0,15.5,96.8,3.77,1.2,0.00,3.92,0.00,14.36,4.50,-9.87,-9.03,1,7,0,0,0,0.00,0,0,2.05,1.38837333333333,0
8,0.36,23.65,12.75,13.67,72,0.00,-3.13,,817,0.275313551544815,0,15.5,96.8,3.75,1.2,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.39477333333333,0
9,0.4,23.57,12.75,13.67,69,0.00,-3.13,,819,0.274725274725275,0,15,96.8,3.75,1.2,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.39776,0
10,0.44,23.74,12.75,13.67,69,0.00,-3.13,,813,0.276752767527675,0,15.5,96.8,3.75,1.22,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.38752,0
11,0.48,23.78,12.86,13.68,69,0.00,-3.13,,820,0.27740164684355,0,15,96.8,3.79,1.24,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.30,1.57392,0
12,0.52,23.82,12.86,13.68,67,0.00,-3.13,,818,0.275229357798165,0,15,96.8,3.75,1.24,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.3952,0
13,0.56,24.45,12.86,13.68,67,0.00,-3.13,,819,0.277570949038755,0,15,96.8,3.79,1.24,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.39818666666667,0
14,0.6,24.37,12.86,13.68,67,0.00,-3.13,,813,0.279618813403013,0,15.5,96.8,3.79,1.24,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.38794666666667,0
15,0.64,24.37,12.86,13.68,65,0.00,-3.13,,817,0.278335373317013,0,15,96.8,3.79,1.22,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.39434666666667,0
16,0.68,24.49,12.86,13.68,65,0.00,-3.13,,813,0.27666769136182,0,15.5,96.8,3.75,1.22,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.30,1.56144,0
17,0.72,24.54,12.86,13.69,65,0.00,-3.13,,811,0.282788402220851,0,15.5,96.8,3.82,1.2,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.38325333333333,0
18,0.76,24.49,12.86,13.69,62,0.00,-3.13,,818,0.280109990834097,0,16.5,96.8,3.82,1.2,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.39648,0
19,0.8,24.41,12.86,13.70,62,0.00,-3.13,,817,0.280452737840318,0,15,96.8,3.82,1.2,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.39477333333333,0
20,0.84,24.37,12.86,13.70,62,0.00,-3.13,,823,0.278577939835916,0,14.5,96.8,3.82,1.2,0.00,3.92,0.00,14.36,4.50,-9.87,-9.03,1,7,0,0,0,0.00,0,0,2.05,1.40416,0
21,0.88,24.03,12.86,13.70,62,0.00,-3.13,,811,0.28056755089451,0,15.5,96.8,3.79,1.22,0.00,3.92,0.00,14.36,4.50,-9.87,-9.03,1,7,0,0,0,0.00,0,0,2.05,1.38325333333333,0
22,0.92,24.49,12.86,13.70,60,0.00,-3.13,,814,0.281486030089039,0,15,96.8,3.82,1.22,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.38965333333333,0
23,0.96,24.49,12.86,13.70,60,0.00,-3.13,,812,0.280221811460259,0,15.5,96.8,3.79,1.24,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.38496,0
24,1,24.49,12.86,13.71,60,0.00,-3.13,,814,0.281486030089039,0,15,96.8,3.82,1.24,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.38965333333333,0
25,1.04,24.45,12.86,13.71,59,0.00,-3.13,,811,0.28039457459926,0,15.5,96.8,3.79,1.24,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.38410666666667,0
26,1.08,24.49,12.86,13.71,59,0.00,-3.13,,820,0.277317073170732,0,14.5,96.8,3.79,1.24,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.39946666666667,0
27,1.12,24.32,12.86,13.72,59,0.00,-3.13,,819,0.274809160305344,0,14.5,96.8,3.75,1.22,0.00,3.92,0.00,14.36,4.50,-9.87,-9.03,1,7,0,0,0,0.00,0,0,2.05,1.39733333333333,0
28,1.16,24.32,12.98,13.72,57,0.00,-3.13,,819,0.277825290164936,0,14.5,96.8,3.79,1.22,0.00,3.92,0.00,14.36,4.50,-9.87,-9.03,1,7,0,0,0,0.00,0,0,2.05,1.39690666666667,0
29,1.2,24.58,12.98,13.72,57,0.00,-3.13,,809,0.281000926784059,0,15.5,96.8,3.79,1.2,0.00,3.92,0.00,14.36,4.50,-9.87,-9.03,1,7,0,0,0,0.00,0,0,2.30,1.55376,0
30,1.24,24.41,12.98,13.72,57,0.00,-3.13,,815,0.276243093922652,0,15,96.8,3.75,1.2,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.39008,0
31,1.28,24.41,12.98,13.72,55,0.00,-3.13,,823,0.276222289705436,0,14,96.8,3.79,1.2,0.00,3.92,0.00,14.36,4.50,-9.87,-9.04,1,7,0,0,0,0.00,0,0,2.05,1.40501333333333,0
