run_ts,baseline,rom_rev,thread,metric,value,n_events,n_pulls,n_samples,delta_vs_baseline,delta_vs_prior
2026-07-16T22:47:30+00:00,garn_base,20.8,pedal_throttle,throttle_hunt_per_min,0.36196098677860333,43.0,,,0.010003534523942592,0.15419422608199349
2026-07-16T22:47:30+00:00,garn_base,20.8,pedal_throttle,rpm_swing_per_min,1.4562616444813576,173.0,,,-0.21820259806354358,0.33634812950694837
2026-07-16T22:47:30+00:00,garn_base,20.8,avcs,avcs_osc_per_min,1.1868953287391413,141.0,,,0.21634599070356164,0.08218425966936205
2026-07-16T22:47:30+00:00,garn_base,20.8,timing_sum,fbkc_events_per_min,0.1431008552380525,17.0,,,0.025781704486498913,-0.05453094152213736
2026-07-16T22:47:30+00:00,garn_base,20.8,timing_sum,flkc_events_per_min,0.03367078946777705,4.0,,,-0.008990719896424249,0.03367078946777705
2026-07-16T22:47:30+00:00,garn_base,20.8,timing_sum,total_knock_per_min,0.17677164470582954,,,,0.016790984590074665,-0.020860152054360315
2026-07-16T22:47:30+00:00,garn_base,20.8,timing_sum,min_fbkc_depth,-4.2,,,,0.0,5.249999999999999
2026-07-16T22:47:30+00:00,garn_base,20.8,timing_sum,timing_osc_per_min,1.119553749803587,133.0,,,0.17033516645010804,0.0908549102569578
2026-07-16T22:47:30+00:00,garn_base,20.8,wgdc,mean_target_attainment,0.831825968983463,,12.0,,0.014878972610329333,0.11629236803133203
2026-07-16T22:47:30+00:00,garn_base,20.8,wgdc,mean_peak_mrp,12.799999999999999,,12.0,,-0.13731428571428594,4.307654545454543
2026-07-16T22:47:30+00:00,garn_base,20.8,wgdc,wgdc_pegged_pulls,0.0,,12.0,,0.0,0.0
2026-07-16T22:47:30+00:00,garn_base,20.8,ol_fueling,afr_osc_per_min,1.0774652629688657,128.0,,,0.4482079998468965,0.40349016119693615
2026-07-16T22:47:30+00:00,garn_base,20.8,ol_fueling,ffb_wbo2_div_per_min,2.7610047363577186,328.0,,,0.5639370041013514,0.68333712939162
2026-07-16T22:47:30+00:00,garn_base,20.8,ol_fueling,maf_corr_mean_pct,-1.7333832306534345,,,71744.0,-0.3715541185598925,-3.9946048217478056
2026-07-16T22:47:30+00:00,garn_base,20.8,ol_fueling,maf_corr_mean_abs_pct,1.8462282518398747,,,71744.0,-0.011341057749845618,-0.5893772897208112
2026-07-16T22:47:30+00:00,garn_base,20.8,cross_thread,stutter_signature_per_min,1.9949942759657906,237.0,,,0.48051069353664433,0.5913017707716217
2026-07-16T22:47:30+00:00,garn_base,20.9,pedal_throttle,throttle_hunt_per_min,0.23951458377687884,21.0,,,-0.1124428684777819,-0.12244640300172449
2026-07-16T22:47:30+00:00,garn_base,20.9,pedal_throttle,rpm_swing_per_min,0.9010310532558776,79.0,,,-0.7734331892890236,-0.55523059122548
2026-07-16T22:47:30+00:00,garn_base,20.9,avcs,avcs_osc_per_min,1.0493019860701358,92.0,,,0.07875264803455617,-0.13759334266900547
2026-07-16T22:47:30+00:00,garn_base,20.9,timing_sum,fbkc_events_per_min,0.05702728185163782,5.0,,,-0.06029186889991576,-0.08607357338641466
2026-07-16T22:47:30+00:00,garn_base,20.9,timing_sum,flkc_events_per_min,0.0,0.0,,,-0.0426615093642013,-0.03367078946777705
2026-07-16T22:47:30+00:00,garn_base,20.9,timing_sum,total_knock_per_min,0.05702728185163782,,,,-0.10295337826411705,-0.11974436285419171
2026-07-16T22:47:30+00:00,garn_base,20.9,timing_sum,min_fbkc_depth,-2.8,,,,1.4000000000000004,1.4000000000000004
2026-07-16T22:47:30+00:00,garn_base,20.9,timing_sum,timing_osc_per_min,0.9466528787371878,83.0,,,-0.0025657046162911312,-0.17290087106639918
2026-07-16T22:47:30+00:00,garn_base,20.9,wgdc,mean_target_attainment,0.5896524232109547,,11.0,,-0.22729457316217894,-0.24217354577250827
