sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,RPM,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW
0,3.080,10.17,14.7,11.9183,255,0,0,158,0,24.5,35.6,3.08,1.28,0,11.7647,0,14.2196,14.065,-8.92721,1,7,0,0,0,0,0,0,36.864
1,3.120,10.17,14.7,6.49107,255,0,0,158,0,24.5,35.6,3.08,1.18,0,11.7647,0,14.2196,14.065,-8.92721,1,7,0,0,0,0,0,0,36.864
2,3.160,10.17,14.7,6.49107,255,0,0,158,0,24.5,35.6,3.08,1.12,0,11.7647,0,14.2196,14.065,-8.92721,1,7,0,0,0,0,0,0,36.864
3,3.200,10.17,14.7,6.49107,255,0,0,158,0,24.5,35.6,3.08,1.2,0,11.7647,0,14.2196,14.065,-8.92721,1,7,0,0,0,0,0,0,36.864
4,3.240,10.17,14.7,6.49107,255,0,0,172.25,0,24.5,35.6,3.48,1.3,0,11.7647,0,14.2196,14.065,-8.92721,1,7,0,0,0,0,0,0,36.608
5,3.280,10.17,14.7,6.49107,255,0,0,172.25,0,24.5,35.6,3.48,1.22,0,11.7647,0,14.2196,14.065,-8.92721,1,7,0,0,0,0,0,0,36.608
6,3.320,10.17,14.7,6.49107,255,0,0,398,0,24.5,35.6,4.33,1.28,0,11.7647,0,14.2196,13.195,-8.92721,1,7,0,0,0,0,0,0,36.608
7,3.360,10.17,14.7,6.49107,255,0,0,756,0,24.5,35.6,4.73,1.4,0,11.7647,0,14.2196,13.05,-8.92721,1,7,0,0,0,0,0,0,28.672
8,3.400,10.17,14.7,6.49247,255,0,0,1271.5,0,24.5,35.6,7.1,1.48,0,11.7647,0,14.2196,11.31,-8.92721,1,7,0,0,0,0,0,0,25.856
9,3.440,10.17,14.7,6.49808,255,0,0,1546.25,0,24.5,35.6,8.72,1.6,0,11.7647,0,14.2196,10.295,-8.55981,1,7,0,0,0,0,0,0,20.992
10,3.480,10.17,14.7,6.49808,255,0,0,1736.75,0,20.5,35.6,10.11,1.66,0,11.7647,0,14.2196,9.425,-8.55981,1,7,0,0,0,0,0,0,15.36
11,3.520,10.17,14.7,6.50651,255,0,0,1724.25,0,20.5,35.6,11.34,1.72,0,11.7647,0,14.2196,8.845,-8.83223,1,7,0,0,0,0,0,0,12.544
12,3.560,21.4181,14.7,6.50651,255,0,-.78125,1764.25,0,19,35.6,12.04,1.74,0,11.7647,0,14.2196,8.265,-8.83223,1,7,0,0,0,0,0,0,10.24
13,3.600,21.4181,14.7,6.51214,255,0,-.78125,1795.25,0,19,35.6,12.5,1.76,0,11.7647,0,14.2196,7.975,-8.96473,1,7,0,0,0,0,0,0,7.68
14,3.640,21.2073,14.7,6.51495,255,0,-.78125,1849.75,0,18.5,35.6,13.1,1.76,0,11.7647,0,14.2196,7.685,-9.13477,1,7,0,0,0,0,0,0,6.4
15,3.680,21.3756,14.7,6.51495,255,0,-.78125,1926.5,0,17.5,35.6,13.38,1.78,0,11.7647,0,14.2196,7.105,-9.13477,1,7,0,0,0,0,0,0,5.376
16,3.720,20.9965,14.7,6.51778,255,0,-.78125,1935,0,16.5,35.6,13.66,1.78,0,11.7647,0,14.2196,6.815,-9.32358,1,7,0,0,0,0,0,0,5.376
17,3.760,21.335,14.7,6.52342,255,0,-.78125,1969.5,0,16,35.6,13.38,1.76,0,11.7647,0,14.2196,6.525,-9.47048,1,7,0,0,0,0,0,0,5.376
18,3.800,21.3756,14.7,6.52342,255,0,-.78125,2022.25,0,15.5,35.6,13.85,1.76,0,11.7647,0,14.2196,6.235,-9.47048,1,7,0,0,0,0,0,0,5.376
19,3.840,20.8708,14.7,6.52767,255,0,-.78125,2033.75,0,15,35.6,13.1,1.76,0,11.7647,0,14.2196,6.09,-9.54598,1,7,0,0,0,0,0,0,5.376
20,3.880,21.3756,14.7,6.52767,255,0,-.78125,2040.25,0,15,35.6,13.66,1.78,0,11.7647,0,14.2196,5.945,-9.54598,1,7,0,0,0,0,0,0,5.12
21,3.920,21.335,14.7,6.7245,255,0,-.78125,2054.5,0,14.5,35.6,13.29,1.76,0,11.7647,0,14.2196,5.8,-9.54598,1,7,0,0,0,0,0,0,5.12
22,3.960,21.0816,14.7,6.72901,255,0,-.78125,2037.25,0,14.5,35.6,13.19,1.76,0,11.7647,0,14.2196,5.655,-9.54598,1,7,0,0,0,0,0,0,5.12
23,4.000,21.2924,14.7,6.72901,255,0,-.78125,2021.25,0,14.5,35.6,13.38,1.76,0,11.7647,0,14.2196,5.51,-9.54598,1,7,0,0,0,0,0,0,4.864
24,4.040,21.2924,14.7,6.73503,255,0,-.78125,2007.25,0,14,35.6,13.57,1.78,0,11.7647,0,14.2196,5.51,-9.54598,1,7,0,0,0,0,0,0,4.864
25,4.080,20.9965,14.7,6.73956,255,0,-.78125,1959.25,0,14,35.6,13.76,1.78,0,11.7647,0,14.2196,5.51,-9.48206,1,7,0,0,0,0,0,0,5.12
26,4.120,21.2499,14.7,6.73956,255,0,-.78125,1944,0,14,35.6,13.76,1.78,0,11.7647,0,14.2196,5.51,-9.48206,1,7,0,0,0,0,0,0,4.864
27,4.160,21.4181,14.7,6.92879,255,0,-1.5625,1935.25,0,14,35.6,13.48,1.78,0,11.7647,0,14.2196,5.51,-9.41822,1,7,0,0,0,0,0,0,5.12
28,4.200,21.4181,14.7,6.92879,255,0,-1.5625,1908.5,0,14,35.6,13.38,1.76,0,11.7647,0,14.2196,5.51,-9.41822,1,7,0,0,0,0,0,0,5.12
29,4.240,21.2073,14.7,6.93198,255,0,-1.5625,1883.5,0,13.5,35.6,13.38,1.78,0,11.7647,0,14.2196,5.51,-9.32021,1,7,0,0,0,0,0,0,5.12
30,4.280,21.3756,14.7,6.93677,255,0,-1.5625,1863.5,0,13.5,35.6,13.29,1.76,0,11.7647,0,14.2196,5.51,-9.24997,1,7,0,0,0,0,0,0,5.12
31,4.320,21.4181,14.7,6.93677,255,0,-1.5625,1846,0,13.5,35.6,13.1,1.76,0,11.7647,0,14.2196,5.51,-9.24997,1,7,0,0,0,0,0,0,5.12
32,4.360,21.0816,14.7,6.93997,255,0,-1.5625,1831.5,0,13.5,35.6,12.91,1.76,0,11.3725,0,14.2196,5.51,-9.16654,1,7,0,0,0,0,0,0,5.12
33,4.400,21.1648,14.7,7.12222,255,0,-1.5625,1788.75,0,13.5,35.6,13.19,1.76,0,11.3725,0,14.2196,5.655,-9.06944,1,7,0,0,0,0,0,0,5.12
34,4.440,21.4181,14.7,7.12222,255,0,-1.5625,1776.75,0,13,35.6,12.91,1.76,0,11.3725,0,14.2196,5.655,-9.06944,1,7,0,0,0,0,0,0,5.12
35,4.480,21.1242,14.7,7.12559,255,0,-1.5625,1764.75,0,13.5,35.6,12.91,1.78,0,11.3725,0,14.2196,5.655,-8.99428,1,7,0,0,0,0,0,0,5.12
36,4.520,23.4837,14.7,7.12559,255,0,-1.5625,1752.5,0,13.5,35.6,13.29,1.76,0,11.3725,0,14.2196,5.655,-8.99428,1,7,0,0,0,0,0,0,5.12
37,4.560,23.7776,14.7,7.12896,255,0,-3.90625,1754,0,13.5,35.6,12.74,1.74,0,11.3725,0,14.2196,5.8,-8.93608,1,7,0,0,0,0,0,0,5.12
38,4.600,23.356,14.7,7.13234,255,0,-3.90625,1740.5,0,13.5,35.6,12.55,1.74,0,11.3725,0,14.2196,5.8,-8.90637,1,7,0,0,0,0,0,0,5.12
39,4.640,23.5668,14.7,7.13234,255,0,-3.90625,1730,0,13.5,35.6,12.55,1.74,0,11.3725,0,14.2196,5.8,-8.90637,1,7,0,0,0,0,0,0,5.12
40,4.680,23.8202,14.7,7.16118,255,0,-3.90625,1720,0,13.5,35.6,12.82,1.76,0,11.3725,0,14.2196,5.8,-8.88051,1,7,0,0,0,0,0,0,5.12
41,4.720,23.7351,14.7,7.16288,255,0,-3.90625,1706,0,13.5,35.6,13.1,1.76,0,11.3725,0,14.2196,5.8,-8.82084,1,7,0,0,0,0,0,0,5.12
42,4.760,23.5243,14.7,7.16288,255,0,-3.90625,1721,0,13.5,35.6,12.59,1.74,0,11.3725,0,14.2196,5.8,-8.82084,1,7,0,0,0,0,0,0,5.12
43,4.800,23.5243,14.7,7.16118,255,0,-3.90625,1709,0,13.5,35.6,12.5,1.74,0,11.3725,0,14.2196,5.8,-8.82941,1,7,0,0,0,0,0,0,5.12
44,4.840,23.8202,14.7,7.16118,255,0,-3.90625,1609.25,0,15.5,35.6,12.55,1.74,0,11.3725,0,14.2196,5.8,-8.82941,1,7,0,0,0,0,0,0,5.376
45,4.880,23.5668,14.7,7.15778,255,0,-3.90625,1596.5,0,16,35.6,12.37,1.74,0,11.3725,0,14.2196,5.945,-8.58266,1,7,0,0,0,0,0,0,5.376
46,4.920,23.7776,14.7,7.10708,255,0,-3.90625,1604.5,0,15.5,35.6,12.63,1.74,0,11.3725,0,14.2196,5.945,-8.55981,1,7,0,0,0,0,0,0,5.376
47,4.960,23.7351,14.7,7.10708,255,0,-3.90625,1605.75,0,15.5,35.6,12.55,1.76,0,11.3725,0,14.2196,5.945,-8.55981,1,7,0,0,0,0,0,0,5.376
48,5.000,23.4837,14.7,7.20057,255,0,-3.90625,1606.25,0,15.5,35.6,12.73,1.74,0,11.3725,0,14.2196,5.945,-8.56381,1,7,0,0,0,0,0,0,5.376
49,5.040,23.8202,14.7,7.19026,255,0,-3.90625,1609.25,0,15,35.6,12.5,1.74,0,11.3725,0,14.2196,5.945,-8.60153,1,7,0,0,0,0,0,0,5.376
