ROM Size: 1048576 bytes (1024 KB)

================================================================================
ROM HOLES (0xFF regions >= 32 bytes)
================================================================================
Total free space: 195,476 bytes (190.9 KB)

  0x0DAE8C-0x0F8900  121460 bytes (118.6 KB)
  0x0AF998-0x0BB400   47720 bytes (46.6 KB)
  0x0FC004-0x0FFAF8   15092 bytes (14.7 KB)
  0x0FA54C-0x0FC000    6836 bytes (6.7 KB)
  0x0BEDB8-0x0BF600    2120 bytes (2.1 KB)
  0x0BF878-0x0C0000    1928 bytes (1.9 KB)
  0x0FFB00-0x0FFB80     128 bytes (0.1 KB)
  0x000F74-0x000FB0      60 bytes (0.1 KB)
  0x001FD8-0x001FFC      36 bytes (0.0 KB)
  0x000FBC-0x000FDC      32 bytes (0.0 KB)
  0x0CD2C6-0x0CD2E6      32 bytes (0.0 KB)
  0x0D39EA-0x0D3A0A      32 bytes (0.0 KB)

================================================================================
ROM REGION MAP (256-byte block classification)
================================================================================

Region type distribution:
  code              444928 bytes ( 42.4%)  #####################
  0x028100-0x029700    5632 bytes  float_data
  0x029900-0x029E00    1280 bytes  code
  0x029F00-0x02A200     768 bytes  code
  0x02A500-0x02A700     512 bytes  code
  0x02A700-0x02AD00    1536 bytes  float_data
  0x02AD00-0x02AF00     512 bytes  code
  0x02B000-0x02BD00    3328 bytes  code
  0x02BE00-0x02C000     512 bytes  code
  0x02C200-0x02C600    1024 bytes  float_data
  0x02C600-0x02C800     512 bytes  code
  0x02C800-0x02CB00     768 bytes  float_data
  0x02CB00-0x02CD00     512 bytes  code
  0x02CD00-0x02CF00     512 bytes  float_data
  0x02D000-0x02D200     512 bytes  float_data
  0x02D300-0x02D500     512 bytes  float_data
  0x02D500-0x02D900    1024 bytes  code
  0x02DB00-0x02E000    1280 bytes  float_data
  0x02E200-0x02E600    1024 bytes  code
  0x02E600-0x02E800     512 bytes  float_data
  0x02E800-0x02EA00     512 bytes  code
  0x02EA00-0x02EC00     512 bytes  float_data
  0x02ED00-0x02F000     768 bytes  float_data
  0x02F000-0x02F600    1536 bytes  code
  0x02F700-0x02FC00    1280 bytes  code
  0x02FD00-0x030200    1280 bytes  code
  0x030300-0x031300    4096 bytes  code
  0x031800-0x032F00    5888 bytes  code
  0x033000-0x033900    2304 bytes  code
  0x033A00-0x033C00     512 bytes  code
  0x033F00-0x034900    2560 bytes  code
  0x034B00-0x034D00     512 bytes  float_data
  0x034D00-0x035700    2560 bytes  code
  0x035800-0x035D00    1280 bytes  code
  0x036000-0x036200     512 bytes  code
  0x036200-0x036400     512 bytes  float_data
  0x036800-0x036A00     512 bytes  code
  0x036B00-0x037700    3072 bytes  code
  0x037800-0x037D00    1280 bytes  code
  0x037D00-0x037F00     512 bytes  float_data
  0x037F00-0x038100     512 bytes  code
  0x038200-0x039400    4608 bytes  code
  0x039500-0x039C00    1792 bytes  code
  0x039D00-0x03A500    2048 bytes  code
  0x03A600-0x03AC00    1536 bytes  code
  0x03AD00-0x03AF00     512 bytes  code
  0x03B100-0x03B300     512 bytes  float_data
  0x03B300-0x03B500     512 bytes  code
  0x03B800-0x03BA00     512 bytes  code
  0x03BD00-0x03C000     768 bytes  code
  0x03C000-0x03C400    1024 bytes  float_data
  0x03C500-0x03C800     768 bytes  float_data
  0x03C800-0x03CA00     512 bytes  code
  0x03CB00-0x03CE00     768 bytes  code
  0x03CF00-0x03D300    1024 bytes  code
  0x03D600-0x03D900     768 bytes  code
  0x03D900-0x03DB00     512 bytes  float_data
  0x03DB00-0x03DD00     512 bytes  code
  0x03DD00-0x03E000     768 bytes  float_data
  0x03E200-0x03E400     512 bytes  code
  0x03E500-0x03E800     768 bytes  code
  0x03E900-0x03EB00     512 bytes  code
  0x03EC00-0x03F900    3328 bytes  code
  0x03FA00-0x040300    2304 bytes  code
  0x040400-0x040700     768 bytes  code
  0x040900-0x040B00     512 bytes  float_data
  0x040C00-0x040F00     768 bytes  float_data
  0x041100-0x041300     512 bytes  code
  0x041400-0x041800    1024 bytes  code
  0x041900-0x042100    2048 bytes  code
  0x042100-0x042500    1024 bytes  float_data
  0x042500-0x042900    1024 bytes  code
  0x042A00-0x043700    3328 bytes  code
  0x043800-0x043C00    1024 bytes  code
  0x043D00-0x044400    1792 bytes  code
  0x044400-0x044600     512 bytes  float_data
  0x044600-0x044800     512 bytes  code
  0x044900-0x044B00     512 bytes  code
  0x044C00-0x045100    1280 bytes  code
  0x045200-0x045700    1280 bytes  code
  0x045800-0x046000    2048 bytes  code
  0x046100-0x046400     768 bytes  code
  0x046400-0x046600     512 bytes  float_data
  0x046800-0x046C00    1024 bytes  code
  0x046D00-0x047200    1280 bytes  code
  0x047200-0x047400     512 bytes  float_data
  0x047500-0x049600    8448 bytes  float_data
  0x049700-0x049900     512 bytes  float_data
  0x049A00-0x04B100    5888 bytes  float_data
  0x04B100-0x04B500    1024 bytes  code
  0x04B500-0x04BA00    1280 bytes  float_data
  0x04BB00-0x04BD00     512 bytes  float_data
  0x04BD00-0x04BF00     512 bytes  code
  0x04C000-0x04C300     768 bytes  code
  0x04C300-0x04C500     512 bytes  float_data
  0x04C500-0x04C900    1024 bytes  code
  0x04C900-0x04CC00     768 bytes  float_data
  0x04CC00-0x04D000    1024 bytes  code
  0x04D000-0x04D300     768 bytes  float_data
  0x04D800-0x04DC00    1024 bytes  float_data
  0x04DC00-0x04DE00     512 bytes  code
  0x04E000-0x04E200     512 bytes  float_data
  0x04E300-0x04E800    1280 bytes  float_data
  0x04EB00-0x04F200    1792 bytes  float_data
  0x04F200-0x04F900    1792 bytes  code
  0x04FA00-0x050900    3840 bytes  code
  0x050A00-0x050D00     768 bytes  code
  0x051000-0x051200     512 bytes  code
  0x051300-0x051A00    1792 bytes  code
  0x051B00-0x052000    1280 bytes  code
  0x052000-0x052200     512 bytes  float_data
  0x052400-0x052A00    1536 bytes  code
  0x052B00-0x052D00     512 bytes  code
  0x052E00-0x053400    1536 bytes  code
  0x053500-0x054D00    6144 bytes  code
  0x054E00-0x056100    4864 bytes  code
  0x056300-0x056500     512 bytes  float_data
  0x056500-0x057000    2816 bytes  code
  0x057200-0x057600    1024 bytes  float_data
  0x057900-0x057B00     512 bytes  float_data
  0x057D00-0x057F00     512 bytes  code
  0x058000-0x058200     512 bytes  code
  0x058300-0x058700    1024 bytes  code
  0x058900-0x058C00     768 bytes  float_data
  0x059100-0x059300     512 bytes  float_data
  0x059300-0x059500     512 bytes  code
  0x059500-0x059700     512 bytes  float_data
  0x059800-0x059A00     512 bytes  float_data
  0x059A00-0x059C00     512 bytes  code
  0x059E00-0x05A000     512 bytes  float_data
  0x05A000-0x05A300     768 bytes  code
  0x05AB00-0x05AD00     512 bytes  float_data
  0x05AD00-0x05B300    1536 bytes  code
  0x05B600-0x05B800     512 bytes  code
  0x05BC00-0x05C000    1024 bytes  float_data
  0x05C100-0x05C900    2048 bytes  float_data
  0x05C900-0x05CE00    1280 bytes  code
  0x05CE00-0x05D000     512 bytes  float_data
  0x05D000-0x05D800    2048 bytes  code
  0x05D800-0x05DB00     768 bytes  float_data
  0x05DB00-0x05DF00    1024 bytes  code
  0x05E000-0x05E300     768 bytes  code
  0x05E400-0x05EA00    1536 bytes  code
  0x05EA00-0x05EE00    1024 bytes  float_data
  0x05EF00-0x05F600    1792 bytes  float_data
  0x05F800-0x05FB00     768 bytes  code
  0x05FB00-0x05FD00     512 bytes  float_data
  0x05FD00-0x060000     768 bytes  code
  0x060100-0x060500    1024 bytes  code
  0x060800-0x060D00    1280 bytes  code
  0x060E00-0x061000     512 bytes  code
  0x061000-0x061500    1280 bytes  float_data
  0x061500-0x062200    3328 bytes  code
  0x062300-0x063600    4864 bytes  code
  0x063600-0x063800     512 bytes  mixed_data
  0x063900-0x063B00     512 bytes  mixed_data
  0x063B00-0x063F00    1024 bytes  float_data
  0x064100-0x065D00    7168 bytes  code          [CORRECTED: was float_data — parametric monitor dispatch table]
  0x065D00-0x065F00     512 bytes  uint8_data
  0x065F00-0x066200     768 bytes  float_data
  0x066300-0x066500     512 bytes  float_data
  0x066500-0x067200    3328 bytes  code
  0x067200-0x067400     512 bytes  float_data
  0x067400-0x067600     512 bytes  code
  0x067700-0x067900     512 bytes  code
  0x067A00-0x067C00     512 bytes  code
  0x067F00-0x068900    2560 bytes  code
  0x068900-0x068C00     768 bytes  float_data
  0x068C00-0x068E00     512 bytes  code
  0x068F00-0x069100     512 bytes  code
  0x069400-0x069B00    1792 bytes  code
  0x069C00-0x069E00     512 bytes  code
  0x069F00-0x06A400    1280 bytes  code
  0x06A500-0x06A900    1024 bytes  code
  0x06AA00-0x06BB00    4352 bytes  code
  0x06BB00-0x06BE00     768 bytes  float_data
  0x06C000-0x06C200     512 bytes  code
  0x06C300-0x06C600     768 bytes  code
  0x06C700-0x06CE00    1792 bytes  code
  0x06CE00-0x06D000     512 bytes  float_data
  0x06D000-0x06D200     512 bytes  code
  0x06D200-0x06D400     512 bytes  float_data
  0x06D500-0x06D800     768 bytes  float_data
  0x06D800-0x06DF00    1792 bytes  code
  0x06E000-0x06E300     768 bytes  code
  0x06E400-0x06E600     512 bytes  code
  0x06E600-0x06E800     512 bytes  float_data
  0x06E800-0x06F000    2048 bytes  code
  0x06F000-0x06F200     512 bytes  float_data
  0x06F200-0x06FB00    2304 bytes  code
  0x06FB00-0x06FE00     768 bytes  float_data
  0x070000-0x070B00    2816 bytes  code
  0x070B00-0x070E00     768 bytes  float_data
  0x070E00-0x071800    2560 bytes  code
  0x071800-0x071A00     512 bytes  float_data
  0x071A00-0x072900    3840 bytes  code
  0x072900-0x073000    1792 bytes  float_data
  0x073000-0x073B00    2816 bytes  code
  0x073C00-0x073F00     768 bytes  code
  0x074000-0x074D00    3328 bytes  code
  0x074E00-0x075000     512 bytes  code
  0x075100-0x075400     768 bytes  code
  0x075400-0x075700     768 bytes  float_data
  0x075700-0x075A00     768 bytes  code
  0x075A00-0x075C00     512 bytes  float_data
  0x075D00-0x076200    1280 bytes  float_data
  0x076200-0x076A00    2048 bytes  code
  0x076B00-0x077700    3072 bytes  code
  0x077800-0x077E00    1536 bytes  code
  0x077F00-0x078200     768 bytes  code
  0x078300-0x078500     512 bytes  code
  0x078500-0x078800     768 bytes  float_data
  0x078800-0x078A00     512 bytes  code
  0x078B00-0x078F00    1024 bytes  code
  0x078F00-0x079300    1024 bytes  float_data
  0x079300-0x079900    1536 bytes  code
  0x079A00-0x079C00     512 bytes  float_data
  0x079C00-0x079E00     512 bytes  code
  0x079E00-0x07A000     512 bytes  float_data
  0x07A000-0x07A400    1024 bytes  code
  0x07A400-0x07A600     512 bytes  float_data
  0x07A600-0x07A800     512 bytes  code
  0x07A800-0x07AB00     768 bytes  float_data
  0x07AB00-0x07AE00     768 bytes  code
  0x07AF00-0x07B400    1280 bytes  code
  0x07B400-0x07B600     512 bytes  float_data
  0x07B600-0x07B800     512 bytes  code
  0x07B900-0x07BF00    1536 bytes  code
  0x07BF00-0x07C500    1536 bytes  float_data
  0x07C500-0x07CA00    1280 bytes  code
  0x07CE00-0x07D000     512 bytes  float_data
  0x07D000-0x07E300    4864 bytes  code
  0x07E300-0x07E600     768 bytes  float_data
  0x07E600-0x07F200    3072 bytes  code
  0x07F300-0x07F500     512 bytes  code
  0x07F600-0x07FA00    1024 bytes  code
  0x07FB00-0x07FF00    1024 bytes  code
  0x07FF00-0x080100     512 bytes  float_data
  0x080100-0x080300     512 bytes  code
  0x080300-0x080500     512 bytes  float_data
  0x080500-0x080A00    1280 bytes  code
  0x080B00-0x082200    5888 bytes  code
  0x082300-0x082600     768 bytes  code
  0x082600-0x082800     512 bytes  float_data
  0x082800-0x082F00    1792 bytes  code
  0x083000-0x083200     512 bytes  code
  0x083300-0x083500     512 bytes  code
  0x083600-0x083A00    1024 bytes  code
  0x083B00-0x084600    2816 bytes  code
  0x084800-0x084A00     512 bytes  float_data
  0x084A00-0x084C00     512 bytes  code
  0x085300-0x085900    1536 bytes  code
  0x085A00-0x085F00    1280 bytes  code
  0x086000-0x086A00    2560 bytes  code
  0x086C00-0x087000    1024 bytes  code          [CORRECTED: was float_data — literal pools + DTC check code]
  0x087100-0x087600    1280 bytes  code          [CORRECTED: was float_data — DTC check functions]
  0x087600-0x087800     512 bytes  code
  0x087900-0x087D00    1024 bytes  code
  0x087D00-0x087F00     512 bytes  float_data
  0x087F00-0x088500    1536 bytes  code
  0x088500-0x088B00    1536 bytes  float_data
  0x088D00-0x089000     768 bytes  code
  0x089100-0x089900    2048 bytes  code
  0x089900-0x089B00     512 bytes  float_data
  0x089B00-0x089D00     512 bytes  code
  0x089E00-0x08A000     512 bytes  code
