sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,RPM,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW
0,1244.200,10.17,14.7,11.3009,255,0,-1.5625,167,0,13,75.2,2.49,1.2,0,6.66667,0,14.6549,14.21,-9.33226,1,7,0,0,0,0,0,0,1.28
1,1244.240,10.17,14.7,7.73327,255,0,-1.5625,167,0,13,75.2,2.49,1.14,0,6.66667,0,14.6549,14.21,-9.33226,1,7,0,0,0,0,0,0,1.28
2,1244.280,10.17,14.7,7.73327,255,0,-1.5625,167,0,13,75.2,2.49,1.04,0,6.66667,0,14.6549,14.21,-9.33226,1,7,0,0,0,0,0,0,1.28
3,1244.320,10.17,14.7,7.73327,255,0,-1.5625,167,0,13,80.6,2.49,1.1,0,6.66667,0,14.6549,14.21,-9.33226,1,7,0,0,0,0,0,0,1.28
4,1244.360,10.17,14.7,7.73327,255,0,-1.5625,185.25,0,13,80.6,2.66,1.2,0,6.66667,0,14.6549,14.065,-9.33226,1,7,0,0,0,0,0,0,6.144
5,1244.400,10.17,14.7,7.73327,255,0,-1.5625,185.25,0,13,80.6,2.66,1.16,0,6.66667,0,14.6549,14.065,-9.33226,1,7,0,0,0,0,0,0,6.144
6,1244.440,10.17,14.7,7.73327,255,0,-1.5625,386.25,0,13,80.6,3.13,1.18,0,6.66667,0,14.6549,13.34,-9.33226,1,7,0,0,0,0,0,0,5.888
7,1244.480,10.17,14.7,7.73327,255,0,-1.5625,700.75,0,20,80.6,2.92,1.22,0,6.66667,0,14.6549,13.195,-9.33226,1,7,0,0,0,0,0,0,5.888
8,1244.520,10.17,14.7,7.73327,255,0,-1.5625,933.25,0,18,80.6,3.46,1.26,0,6.66667,0,14.6549,11.89,-9.33226,1,7,0,0,0,0,0,0,4.864
9,1244.560,10.17,14.7,7.73525,255,0,-1.5625,1267,0,17.5,80.6,4.61,1.32,0,6.66667,0,14.6549,10.585,-9.04368,1,7,0,0,0,0,0,0,3.84
10,1244.600,22.7661,14.7,7.73724,255,0,-1.5625,1507.25,0,17.5,80.6,5.39,1.36,0,6.66667,0,14.6549,9.425,-8.96486,1,7,0,0,0,0,0,0,3.328
11,1244.640,22.4296,14.7,7.73724,255,0,-1.5625,1655.25,0,17.5,80.6,5.96,1.4,0,6.66667,0,14.6549,8.555,-8.96486,1,7,0,0,0,0,0,0,3.328
12,1244.680,22.2614,14.7,7.74122,255,0,-1.5625,1772.25,0,17.5,80.6,6.3,1.4,0,6.27451,0,14.6549,7.395,-9.29147,1,7,0,0,0,0,0,0,3.072
13,1244.720,22.5553,14.7,7.74122,255,0,0,1819.25,0,17.5,80.6,6.39,1.42,0,6.27451,0,14.6549,6.96,-9.29147,1,7,0,0,0,0,0,0,3.072
14,1244.760,22.4296,14.7,7.74122,255,0,0,1894.75,0,17.5,80.6,6.43,1.42,0,6.27451,0,14.6549,6.525,-9.50556,1,7,0,0,0,0,0,0,3.072
15,1244.800,22.683,14.7,7.7452,255,0,0,1949.5,0,17,80.6,6.49,1.44,0,6.27451,0,14.6549,6.09,-9.82639,1,7,0,0,0,0,0,0,3.072
16,1244.840,22.4722,14.7,7.7452,255,0,0,2024.5,0,16,80.6,6.55,1.44,0,6.66667,0,14.6549,5.51,-9.82639,1,7,0,0,0,0,0,0,2.816
17,1244.880,22.6404,14.7,7.96234,255,0,0,2047.75,0,15,80.6,6.64,1.46,0,6.66667,0,14.6549,5.075,-9.95103,1,7,0,0,0,0,0,0,2.816
18,1244.920,22.4296,14.7,8.16755,255,0,0,2067,0,14,80.6,6.79,1.46,0,6.66667,0,14.6549,4.785,-9.95103,1,7,0,0,0,0,0,0,2.56
19,1244.960,22.5147,14.7,8.16755,255,0,0,2094,0,13,80.6,6.7,1.44,0,6.66667,0,14.6549,4.495,-9.95103,1,7,0,0,0,0,0,0,2.56
20,1245.000,22.5553,14.7,8.36035,255,0,0,2085,0,12,80.6,6.66,1.44,0,6.66667,0,14.6549,4.35,-9.95103,1,7,0,0,0,0,0,0,2.56
21,1245.040,22.7236,14.7,8.36035,255,0,0,2090.75,0,11,80.6,6.64,1.44,0,6.66667,0,14.6549,4.205,-9.95103,1,7,0,0,0,0,0,0,2.56
22,1245.080,22.3039,14.7,8.54302,255,0,0,2087.25,0,10.5,80.6,6.68,1.46,0,6.66667,0,14.6549,4.06,-9.95103,1,7,0,0,0,0,0,0,2.56
23,1245.120,22.4296,14.7,8.71363,255,0,0,2048,0,9.5,80.6,6.68,1.44,0,6.66667,0,14.6549,3.915,-9.95103,1,7,0,0,0,0,0,0,2.304
24,1245.160,22.5553,14.7,8.71363,255,0,0,2033.25,0,9.5,80.6,6.66,1.44,0,6.66667,0,14.6549,3.915,-9.95103,1,7,0,0,0,0,0,0,2.56
