sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG
0,11.4,10.17,14.70,10.42,255,0.00,0.00,,168,0.823774145616642,0,27,66.2,2.31,1.2,0.00,9.02,0.00,14.36,14.07,-0.30,-8.98,1,7,0,0,0,0.00,0,0,13.06,1.83056,0
1,11.44,10.17,14.70,10.42,255,0.00,0.00,,168,0.823774145616642,0,27,66.2,2.31,1.08,0.00,9.02,0.00,14.36,14.07,-0.30,-8.98,1,7,0,0,0,0.00,0,0,13.06,1.83056,0
2,11.48,10.17,14.70,10.42,255,0.00,0.00,,168,0.823774145616642,0,27,66.2,2.31,1.08,0.00,9.02,0.00,14.36,14.07,-0.30,-8.98,1,7,0,0,0,0.00,0,0,13.06,1.83056,0
3,11.52,10.17,14.70,10.42,255,0.00,0.00,,168,0.823774145616642,0,27,66.2,2.31,1.2,0.00,9.02,0.00,14.36,14.07,-0.30,-8.98,1,7,0,0,0,0.00,0,0,13.06,1.83056,0
4,11.56,10.17,14.70,10.42,255,0.00,0.00,,190,0.886543535620053,0,27,66.2,2.8,1.24,0.00,9.02,0.00,14.36,13.92,-0.44,-8.98,1,7,0,0,0,0.00,0,0,13.06,2.06176,0
5,11.6,10.17,14.70,10.42,255,0.00,0.00,,427,0.526143024618992,0,27,66.2,3.74,1.22,0.00,9.02,0.00,14.36,13.05,-1.31,-8.98,1,7,0,0,0,0.00,0,0,9.98,3.54848,0
6,11.64,10.17,14.70,10.42,255,0.00,0.00,,772,0.302233732599547,0,27,66.2,3.89,1.28,0.00,9.02,0.00,14.36,12.33,-2.04,-8.98,1,7,0,0,0,0.00,0,0,9.98,6.42512,0
7,11.68,10.25,14.70,10.42,255,0.00,0.00,,1058,0.249468462083629,0,27,66.2,4.4,1.36,0.00,9.02,0.00,14.36,11.75,-2.62,-8.98,1,7,0,0,0,0.00,0,0,9.98,8.80464,0
8,11.72,10.25,14.70,10.46,255,0.00,0.00,,1417,0.251896278003175,0,27,66.2,5.95,1.44,0.00,9.02,0.00,14.36,10.59,-3.78,-8.61,1,7,0,0,0,0.00,0,0,6.66,7.86101333333333,0
9,11.76,10.17,14.70,10.46,255,0.00,0.00,,1730,0.263892501083658,0,22.5,66.2,7.61,1.5,0.00,9.02,0.00,14.36,9.14,-5.23,-8.75,1,7,0,0,0,0.00,0,0,4.86,7.01328,0
10,11.8,22.64,14.70,10.46,255,0.00,0.00,,1868,0.248896025692493,0,22,66.2,7.75,1.54,0.00,9.02,0.00,14.36,8.41,-5.95,-8.75,1,7,0,0,1,0.00,0,0,4.10,6.37696,0
11,11.84,22.60,14.70,10.47,255,0.00,0.00,,2037,0.241001718634913,0,21.5,66.2,8.18,1.56,0.00,9.02,0.00,14.36,7.40,-6.97,-9.45,1,7,0,0,3,0.00,0,0,3.07,5.21344,0
