sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,RPM,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW
0,91246.680,10.17,14.7,7.27892,255,0,0,170.75,0,27,50,3.19,1.28,0,10.9804,0,14.2196,13.92,-8.91163,1,7,0,0,0,0,0,0,29.184
1,91246.720,10.17,14.7,7.27892,255,0,0,170.75,0,27,50,3.19,1.18,0,10.9804,0,14.2196,13.92,-8.91163,1,7,0,0,0,0,0,0,29.184
2,91246.760,10.17,14.7,7.27892,255,0,0,170.75,0,27,50,3.19,1.14,0,10.9804,0,14.2196,13.92,-8.91163,1,7,0,0,0,0,0,0,29.184
3,91246.800,10.17,14.7,7.27892,255,0,0,170.75,0,27,50,3.19,1.22,0,10.9804,0,14.2196,13.92,-8.91163,1,7,0,0,0,0,0,0,29.184
4,91246.840,10.17,14.7,7.27892,255,0,0,183.5,0,27,50,3.5,1.28,0,10.9804,0,14.2196,13.92,-8.91163,1,7,0,0,0,0,0,0,29.184
5,91246.880,10.17,14.7,7.28244,255,0,0,183.5,0,27,60.8,3.5,1.2,0,10.9804,0,14.2196,13.92,-8.91163,1,7,0,0,0,0,0,0,29.184
6,91246.920,10.17,14.7,7.28244,255,0,0,415.75,0,27,60.8,3.82,1.26,0,10.9804,0,14.2196,13.195,-8.91163,1,7,0,0,0,0,0,0,21.76
7,91246.960,10.17,14.7,7.28244,255,0,0,1080.5,0,27,60.8,5.11,1.38,0,10.9804,0,14.2196,11.89,-8.91163,1,7,0,0,0,0,0,0,21.76
8,91247.000,10.17,14.7,7.28773,255,0,0,1440.25,0,27,60.8,7.16,1.48,0,10.9804,0,14.2196,10.585,-8.54423,1,7,0,0,0,0,0,0,15.36
9,91247.040,10.17,14.7,7.28773,255,0,0,1662.25,0,23.5,60.8,8.41,1.58,0,10.9804,0,14.2196,9.715,-8.54423,1,7,0,0,0,0,0,0,11.008
10,91247.080,21.2499,14.7,7.29479,255,0,0,1792,0,22,60.8,9.67,1.64,0,10.9804,0,14.2196,8.845,-8.87004,1,7,0,0,0,0,0,0,8.704
11,91247.120,21.0816,14.7,7.30364,255,0,0,1927.25,0,21.5,60.8,10.64,1.66,0,10.9804,0,14.2196,7.975,-9.27312,1,7,0,0,0,0,0,0,6.4
12,91247.160,20.7026,14.7,7.30364,255,0,0,1988.25,0,21.5,60.8,11.12,1.7,0,11.3725,0,14.2196,7.685,-9.27312,1,7,0,0,0,0,0,0,5.12
