rpm,lean_peak,throttle_step,fbkc_2s,dfco_entry,rom_rev
2278.0,7.41,0.0,0.0,True,20.17a
3463.0,11.139999999999999,0.39000000000000057,0.0,False,20.17a
4576.0,9.020000000000001,20.78,0.0,False,20.17a
4356.0,9.020000000000001,2.3500000000000014,0.0,False,20.17a
3798.0,8.85,0.3999999999999986,0.0,False,20.17a
2594.0,8.52,2.75,0.0,True,20.17a
2600.0,8.52,1.9600000000000009,0.0,True,20.17a
3222.0,7.170000000000002,0.0,0.0,True,20.17a
2884.0,10.68,19.999999999999996,0.0,False,20.17a
2893.0,10.68,0.399999999999995,0.0,True,20.17a
2572.0,7.599999999999998,0.0,0.0,True,20.17a
2557.0,7.379999999999999,0.0,0.0,True,20.17a
3133.0,5.970000000000001,1.5699999999999985,0.0,False,20.17a
3077.0,7.490000000000002,0.3899999999999988,0.0,True,20.17a
2860.0,8.44,0.0,0.0,True,20.17a
3698.0,7.789999999999999,5.49,0.0,True,20.17a
4692.0,9.660000000000002,0.3999999999999986,0.0,False,20.17a
4040.0,9.660000000000002,1.1799999999999997,0.0,False,20.17a
3664.0,7.660000000000002,0.39000000000000057,0.0,True,20.17a
3614.0,7.660000000000002,0.39000000000000057,0.0,True,20.17a
3468.0,7.42,0.0,0.0,True,20.17a
3171.0,9.55,15.299999999999997,0.0,True,20.17a
3255.0,9.55,0.0,0.0,True,20.17a
3154.0,10.98,0.0,0.0,True,20.17a
2233.0,7.52,1.959999999999999,0.0,True,20.17a
