rpm,lean_peak,throttle_step,fbkc_2s,dfco_entry,rom_rev
2934.0,7.110000000000001,1.1799999999999997,0.0,True,20.17a
2059.0,7.9300000000000015,1.959999999999999,0.0,True,20.17a
2085.0,6.770000000000001,0.3899999999999988,0.0,True,20.17a
2559.0,2.51,0.7899999999999956,0.0,False,20.17a
3206.0,8.189999999999998,0.39000000000000057,0.0,False,20.17a
3348.0,7.520000000000001,0.39000000000000057,-5.6,True,20.17a
2524.0,9.010000000000002,0.0,0.0,True,20.17a
3070.0,7.51,0.3899999999999988,0.0,True,20.17a
3021.0,7.370000000000001,0.0,0.0,True,20.17a
2781.0,7.729999999999999,3.92,0.0,True,20.17a
2758.0,7.729999999999999,2.7499999999999982,0.0,True,20.17a
2865.0,7.749999999999998,1.1799999999999997,0.0,True,20.17a
2715.0,7.280000000000001,2.3499999999999996,0.0,True,20.17a
2707.0,5.610000000000001,0.3999999999999986,0.0,True,20.17a
3202.0,8.670000000000002,6.66,0.0,True,20.17a
2959.0,8.670000000000002,13.720000000000002,0.0,True,20.17a
2269.0,5.110000000000001,12.550000000000004,0.0,True,20.17a
3018.0,10.05,7.059999999999999,0.0,True,20.17a
2590.0,9.36,0.7800000000000011,0.0,True,20.17a
2446.0,8.98,4.700000000000003,-2.8,True,20.17a
3082.0,8.790000000000001,5.879999999999999,-4.2,True,20.17a
3650.0,2.289999999999999,9.809999999999995,0.0,False,20.17a
2288.0,4.27,15.290000000000001,0.0,True,20.17a
2618.0,4.27,1.9599999999999973,0.0,True,20.17a
3532.0,2.51,1.9599999999999937,0.0,False,20.17a
3838.0,2.58,3.9299999999999997,0.0,False,20.17a
4562.0,2.67,0.0,0.0,False,20.17a
3843.0,11.92,17.25,0.0,True,20.17a
3892.0,8.92,44.71,0.0,True,20.17a
3330.0,12.8,23.929999999999996,0.0,False,20.17a
3345.0,12.8,12.149999999999999,0.0,False,20.17a
3214.0,6.790000000000001,3.1300000000000026,0.0,False,20.17a
3488.0,9.07,1.1699999999999982,0.0,True,20.17a
3460.0,7.760000000000002,9.020000000000001,0.0,True,20.17a
3477.0,4.890000000000001,7.060000000000002,0.0,True,20.17a
3761.0,6.230000000000002,18.04,0.0,True,20.17a
3414.0,6.230000000000002,16.08,0.0,True,20.17a
3542.0,3.209999999999999,10.190000000000005,0.0,False,20.17a
2274.0,4.039999999999999,1.1799999999999997,0.0,True,20.17a
1596.0,9.569999999999999,1.1700000000000017,0.0,True,20.17a
2870.0,7.85,1.5699999999999985,0.0,True,20.17a
2862.0,2.039999999999999,2.3500000000000014,0.0,True,20.17a
2770.0,8.499999999999998,0.7800000000000011,0.0,True,20.17a
2521.0,7.250000000000002,2.3499999999999996,0.0,True,20.17a
