rpm,lean_peak,throttle_step,fbkc_2s,dfco_entry,rom_rev
2790.0,8.1882,3.139999999999997,0.0,True,20.10
2627.0,8.1882,0.39000000000000057,0.0,True,20.10
3168.0,8.3905,0.7800000000000011,0.0,True,20.10
3072.0,6.051600000000002,1.1799999999999997,0.0,True,20.10
1928.0,7.999700000000001,5.1,0.0,True,20.10
1929.0,7.649800000000001,0.3899999999999988,0.0,True,20.10
1905.0,7.6164000000000005,1.5599999999999987,0.0,True,20.10
2402.0,7.094799999999999,0.40000000000000036,0.0,True,20.10
2125.0,7.734599999999999,0.7899999999999991,0.0,True,20.10
2153.25,9.53239,13.7255,0.0,True,20.10
2247.0,3.7004,2.7451000000000008,0.0,False,20.10
2340.75,2.514800000000001,7.4510000000000005,0.0,False,20.10
2474.0,10.997599999999998,11.372600000000002,0.0,True,20.10
3191.0,10.997599999999998,4.313700000000001,0.0,True,20.10
3318.75,2.1776,0.392199999999999,0.0,True,20.10
3394.75,2.5688000000000013,0.0,0.0,False,20.10
2817.25,4.4148,5.098100000000002,0.0,False,20.10
2717.75,4.4148,2.3530000000000015,0.0,False,20.10
2601.75,8.5158,1.9606999999999992,0.0,True,20.10
2851.5,7.864700000000001,5.8824000000000005,0.0,True,20.10
3570.5,7.7796,0.0,0.0,True,20.10
2257.75,3.0687999999999995,0.392199999999999,0.0,False,20.10
2142.0,7.697000000000001,3.5294299999999996,0.0,True,20.10
2129.0,7.697000000000001,0.7843,0.0,True,20.10
3763.5,9.9832,0.0,0.0,True,20.10
3566.75,9.2024,19.6079,0.0,False,20.10
3222.5,9.844100000000001,5.8824000000000005,-2.8,False,20.10
3293.75,9.844100000000001,2.7451000000000008,-2.8,True,20.10
2039.5,9.567499999999999,8.6274,-7.0,True,20.10
2173.25,7.484500000000001,0.3921600000000005,0.0,True,20.10
2115.25,7.246600000000001,0.392199999999999,0.0,True,20.10
2043.75,7.6373999999999995,0.0,0.0,True,20.10
