,0.27,0.57,0.73,1.0,1.17,1.36,1.51,1.64,1.78,1.95,2.12,2.28,2.44,2.6,2.9,3.22,3.7
800,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.4738461538462,14.1473684210526,13.8352941176471,13.44,13.0666666666667,12.7135135135135
1200,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.5860465116279,14.363358778626,13.9377777777778,13.8352941176471,13.6347826086957,13.44,13.2507042253521,12.9765517241379,12.7135135135135,12.4609271523179
1600,14.7,14.7,14.7,14.7,14.7,14.1473684210526,14.1473684210526,14.0417910447761,13.8352941176471,13.6347826086957,13.536690647482,13.44,13.2507042253521,13.0666666666667,12.8,12.6281879194631,12.3789473684211
1900,14.7,14.7,14.7,14.7,13.9377777777778,13.6347826086957,13.536690647482,13.2507042253521,13.158041958042,13.0666666666667,12.9765517241379,12.8876712328767,12.8,12.6281879194631,12.4609271523179,12.2980392156863,12.1393548387097
2200,14.7,14.7,14.7,14.4738461538462,13.8352941176471,12.9765517241379,12.8876712328767,12.8876712328767,12.8876712328767,12.8,12.8,12.7135135135135,12.6281879194631,12.544,12.2980392156863,12.1393548387097,11.9847133757962
2600,14.7,14.7,14.7,14.2545454545455,13.6347826086957,12.8,12.7135135135135,12.7135135135135,12.7135135135135,12.6281879194631,12.6281879194631,12.544,12.4609271523179,12.3789473684211,12.1393548387097,11.9847133757962,11.76
3000,14.7,14.7,14.7,13.9377777777778,13.3446808510638,12.7135135135135,12.6281879194631,12.6281879194631,12.6281879194631,12.544,12.544,12.4609271523179,12.3789473684211,12.2980392156863,12.0615384615385,11.9088607594937,11.6869565217391
3300,14.7,14.7,14.2545454545455,13.8352941176471,13.158041958042,12.544,12.4609271523179,12.4609271523179,12.4609271523179,12.4609271523179,12.3789473684211,12.2980392156863,12.2181818181818,12.1393548387097,11.9847133757962,11.8339622641509,11.5435582822086
3700,14.7,14.7,14.2,13.8,13.1,12.3789473684211,12.2980392156863,12.2980392156863,12.2980392156863,12.2181818181818,12.2181818181818,12.1393548387097,12.0615384615385,11.9847133757962,11.8339622641509,11.6869565217391,11.4731707317073
4000,14.7,14.7,14.0,13.5,12.95,12.1393548387097,12.1393548387097,12.1393548387097,12.1393548387097,12.0615384615385,11.9847133757962,11.9088607594937,11.8339622641509,11.76,11.6148148148148,11.4731707317073,11.4036363636364
4400,14.7,14.7,13.75,13.15,12.7,11.9847133757962,11.9088607594937,11.9088607594937,11.9088607594937,11.8339622641509,11.8339622641509,11.76,11.6869565217391,11.6148148148148,11.4731707317073,11.2670658682635,11.2670658682635
4800,14.5860465116279,14.363358778626,13.5,12.9,12.45,11.9088607594937,11.8339622641509,11.76,11.76,11.6869565217391,11.6869565217391,11.6869565217391,11.6148148148148,11.5435582822086,11.4036363636364,11.2,11.1337278106509
5200,14.363358778626,14.0417910447761,13.2,12.65,12.3,11.76,11.6869565217391,11.6869565217391,11.6869565217391,11.6148148148148,11.6148148148148,11.5435582822086,11.4731707317073,11.4036363636364,11.2670658682635,11.1337278106509,11.0035087719298
5500,14.1473684210526,13.8352941176471,13.0,12.5,12.15,11.6869565217391,11.6148148148148,11.6148148148148,11.6148148148148,11.5435582822086,11.5435582822086,11.4731707317073,11.4036363636364,11.3349397590361,11.2670658682635,11.1337278106509,11.0035087719298
6000,13.9377777777778,13.44,12.4609271523179,11.9847133757962,11.76,11.5435582822086,11.5435582822086,11.4731707317073,11.4731707317073,11.4036363636364,11.3349397590361,11.3349397590361,11.2670658682635,11.2,11.1337278106509,11.0682352941177,11.0035087719298
6300,13.7343065693431,13.158041958042,12.2980392156863,11.8339622641509,11.6869565217391,11.4731707317073,11.4036363636364,11.4036363636364,11.3349397590361,11.3349397590361,11.2670658682635,11.2670658682635,11.2,11.1337278106509,11.0682352941177,11.0035087719298,11.0035087719298
6600,13.7343065693431,12.8,12.0615384615385,11.6869565217391,11.5435582822086,11.4036363636364,11.3349397590361,11.3349397590361,11.3349397590361,11.2670658682635,11.2670658682635,11.2,11.2,11.1337278106509,11.0682352941177,11.0035087719298,11.0035087719298
7000,13.7343065693431,12.544,11.8339622641509,11.5435582822086,11.4036363636364,11.2670658682635,11.2670658682635,11.2670658682635,11.2670658682635,11.2,11.2,11.2,11.2,11.1337278106509,11.0682352941177,11.0035087719298,11.0035087719298
