sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG
0,5.48,10.17,14.70,13.23,255,0.00,0.00,,151,0.900996677740864,0,28,71.6,2.26,1.2,0.00,9.41,0.00,14.80,14.65,-0.16,-9.47,1,7,0,0,0,0.00,0,0,1.54,0.19264,0
1,5.52,10.17,14.70,7.47,255,0.00,0.00,,151,0.900996677740864,0,28,71.6,2.26,1.08,0.00,9.41,0.00,14.80,14.65,-0.16,-9.47,1,7,0,0,0,0.00,0,0,1.28,0.160533333333333,0
2,5.56,10.17,14.70,7.47,255,0.00,0.00,,151,0.900996677740864,0,28,71.6,2.26,1.06,0.00,9.41,0.00,14.80,14.65,-0.16,-9.47,1,7,0,0,0,0.00,0,0,1.28,0.160533333333333,0
3,5.6,10.17,14.70,7.47,255,0.00,0.00,,151,0.900996677740864,0,28,71.6,2.26,1.14,0.00,9.41,0.00,14.80,14.65,-0.16,-9.47,1,7,0,0,0,0.00,0,0,1.28,0.160533333333333,0
4,5.64,10.17,14.70,7.47,255,0.00,0.00,,179,0.91764705882353,0,28,73.4,2.73,1.24,0.00,9.41,0.00,14.80,14.50,-0.30,-9.47,1,7,0,0,0,0.00,0,0,25.86,3.84608,0
5,5.68,10.17,14.70,7.47,255,0.00,0.00,,179,0.91764705882353,0,28,73.4,2.73,1.18,0.00,9.41,0.00,14.80,14.50,-0.30,-9.47,1,7,0,0,0,0.00,0,0,25.60,3.808,0
6,5.72,10.17,14.70,7.47,255,0.00,0.00,,412,0.524271844660194,0,28,73.4,3.6,1.24,0.00,9.41,0.00,14.80,13.63,-1.17,-9.47,1,7,0,0,0,0.00,0,0,19.46,6.67989333333333,0
7,5.76,10.17,14.70,7.47,255,0.00,0.00,,1022,0.268428781204112,0,28.5,73.4,4.57,1.34,0.00,9.41,0.00,14.80,12.18,-2.62,-9.47,1,7,0,0,0,0.00,0,0,17.15,14.60064,0
8,5.8,10.17,14.70,7.47,255,0.00,0.00,,1162,0.283932028393203,0,28.5,73.4,5.5,1.44,0.00,9.41,0.00,14.80,11.60,-3.20,-9.47,1,7,0,0,0,0.00,0,0,13.31,12.8932266666667,0
9,5.84,10.17,14.70,7.48,255,0.00,0.00,,1481,0.278325455773126,0,28.5,73.4,6.87,1.5,0.00,9.41,0.00,14.80,10.30,-4.51,-9.11,1,7,0,0,0,0.00,0,0,10.50,12.9538133333333,0
10,5.88,10.17,14.70,7.48,255,0.00,0.00,,1801,0.259594557067481,0,24,73.4,7.79,1.54,0.00,9.41,0.00,14.80,8.99,-5.81,-9.41,1,7,0,0,0,0.00,0,0,8.19,12.2914133333333,0
11,5.92,22.64,14.70,7.48,255,0.00,0.00,,1936,0.26432537120723,0,23.5,73.4,8.53,1.58,0.00,9.41,0.00,14.80,8.27,-6.54,-9.41,1,7,0,0,2,0.00,0,0,5.63,9.08746666666667,0
12,5.96,22.56,14.70,7.48,255,0.00,0.00,,2097,0.271309325065586,0,23,73.4,9.48,1.6,0.00,9.80,0.00,14.80,7.25,-7.55,-10.09,1,7,0,0,3,0.00,0,0,4.10,7.15605333333333,0
13,6,22.64,14.70,7.48,255,0.00,0.00,,2194,0.26387148228324,0,22.5,73.4,9.65,1.62,0.00,9.80,0.00,14.80,6.82,-7.99,-10.09,1,7,0,0,3,0.00,0,0,3.84,7.0216,0
14,6.04,22.68,14.70,7.49,255,0.00,0.00,,2288,0.259672131147541,0,21.5,73.4,9.9,1.64,0.00,9.80,0.00,14.80,6.24,-8.57,-10.09,1,7,0,0,3,0.00,0,0,3.58,6.832,0
15,6.08,22.51,14.70,7.49,255,0.00,0.00,,2321,0.266034687062372,0,24.5,73.4,10.29,1.66,0.00,10.20,0.00,14.80,5.80,-9.00,-10.09,1,7,0,0,3,0.00,0,0,3.58,6.93130666666667,0
16,6.12,22.22,14.70,7.49,255,0.00,0.00,,2373,0.270796460176991,0,23,73.4,10.71,1.68,0.00,10.20,0.00,14.80,5.51,-9.29,-10.09,1,7,0,0,3,0.00,0,0,3.58,7.08736,0
17,6.16,22.26,14.70,7.50,255,0.00,0.00,,2377,0.274155885137267,0,22,73.4,10.86,1.68,0.00,10.20,0.00,14.80,5.22,-9.58,-10.09,1,7,0,0,3,0.00,0,0,3.58,7.09856,0
18,6.2,22.60,14.70,7.50,255,0.00,0.00,,2386,0.269292823467784,0,20.5,73.4,10.71,1.66,0.00,10.20,0.00,14.80,4.93,-9.87,-10.09,1,7,0,0,3,0.00,0,0,3.58,7.12693333333333,0
19,6.24,22.64,14.70,7.50,255,0.00,0.00,,2365,0.278562367864693,0,19,73.4,10.98,1.68,0.00,10.20,0.00,14.80,4.79,-10.02,-10.09,1,7,0,0,3,0.00,0,0,3.33,6.55893333333333,0
20,6.28,22.39,14.70,7.73,255,0.00,0.00,,2318,0.289387402933563,0,17.5,73.4,11.18,1.68,0.00,10.20,0.00,14.80,4.79,-10.02,-10.09,1,7,0,0,3,0.00,0,0,3.33,6.42858666666667,0
21,6.32,22.60,14.70,7.73,255,0.00,0.00,,2306,0.295056374674762,0,17,73.4,11.34,1.68,0.00,10.20,0.00,14.80,4.64,-10.16,-10.09,1,7,0,0,3,0.00,0,0,3.33,6.39530666666667,0
22,6.36,22.47,14.70,7.74,255,0.00,0.00,,2255,0.292747837658017,0,12,73.4,11,1.68,0.00,10.20,0.00,14.80,4.64,-10.16,-10.09,1,7,0,0,3,0.00,0,0,3.33,6.25248,0
