sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG
0,34953.76,10.17,14.70,8.28,255,0.00,-3.13,,173,1.01471861471861,0,29.5,77,2.93,1.26,0.00,10.20,0.00,14.65,14.36,-0.30,-9.27,1,7,0,0,0,0.00,0,0,19.71,2.84592,0
1,34953.8,10.17,14.70,8.28,255,0.00,-3.13,,173,1.01471861471861,0,29.5,77,2.93,1.2,0.00,10.20,0.00,14.65,14.36,-0.30,-9.27,1,7,0,0,0,0.00,0,0,19.71,2.84592,0
2,34953.84,10.17,14.70,8.28,255,0.00,-3.13,,173,1.01471861471861,0,29.5,77,2.93,1.12,0.00,10.20,0.00,14.65,14.36,-0.30,-9.27,1,7,0,0,0,0.00,0,0,19.71,2.84592,0
3,34953.88,10.17,14.70,8.28,255,0.00,-3.13,,173,1.01471861471861,0,29.5,77,2.93,1.18,0.00,10.20,0.00,14.65,14.36,-0.30,-9.27,1,7,0,0,0,0.00,0,0,19.71,2.84592,0
4,34953.92,10.17,14.70,8.28,255,0.00,-3.13,,194,1.01134020618557,0,29.5,77,3.27,1.26,0.00,10.20,0.00,14.65,14.36,-0.30,-9.27,1,7,0,0,0,0.00,0,0,19.71,3.18677333333333,0
5,34953.96,10.17,14.70,8.28,255,0.00,-3.13,,194,1.01134020618557,0,29.5,77,3.27,1.2,0.00,10.20,0.00,14.65,14.36,-0.30,-9.27,1,7,0,0,0,0.00,0,0,19.71,3.18677333333333,0
6,34954,10.17,14.70,8.30,255,0.00,-3.13,,418,0.563777644949193,0,29.5,77,3.93,1.28,0.00,10.20,0.00,14.65,13.49,-1.17,-9.27,1,7,0,0,0,0.00,0,0,14.85,5.17514666666667,0
7,34954.04,10.17,14.70,8.30,255,0.00,-3.13,,730,0.346968139773895,0,29.5,77,4.22,1.36,0.00,10.20,0.00,14.65,13.34,-1.31,-9.27,1,7,0,0,0,0.00,0,0,14.85,9.02944,0
8,34954.08,10.17,14.70,8.30,255,0.00,-3.13,,1176,0.310714285714286,0,28.5,77,6.09,1.48,0.00,10.59,0.00,14.65,11.60,-3.05,-9.27,1,7,0,0,0,0.00,0,0,10.24,10.0352,0
9,34954.12,10.17,14.70,8.30,255,0.00,-3.13,,1405,0.328767123287671,0,28.5,77,7.7,1.56,0.00,10.59,0.00,14.65,10.59,-4.07,-8.92,1,7,0,0,0,0.00,0,0,7.94,9.29338666666667,0
10,34954.16,10.17,14.70,8.31,255,0.00,-3.13,,1601,0.342161149281699,0,25,77,9.13,1.62,0.00,10.20,0.00,14.65,9.57,-5.08,-8.90,1,7,0,0,0,0.00,0,0,6.14,8.19712,0
11,34954.2,10.17,14.70,8.31,255,0.00,-3.13,,1733,0.338603577611079,0,23.5,77,9.78,1.64,0.00,10.59,0.00,14.65,8.99,-5.66,-8.90,1,7,0,0,0,0.00,0,0,4.86,7.02442666666667,0
12,34954.24,22.64,14.70,8.31,255,0.00,-3.13,,1868,0.337213970293055,0,23,77,10.5,1.66,0.00,10.59,0.00,14.65,7.98,-6.68,-9.38,1,7,0,0,0,0.00,0,0,3.84,5.9784,0
13,34954.28,22.43,14.70,8.31,255,0.00,-3.13,,1938,0.338477419354839,0,22.5,77,10.93,1.68,0.00,10.59,0.00,14.65,7.83,-6.82,-9.38,1,7,0,0,0,0.00,0,0,3.84,6.2,0
14,34954.32,22.26,14.70,8.31,255,0.00,-3.13,,2004,0.338108310456701,0,21.5,77,11.29,1.7,0.00,10.98,0.00,14.65,7.25,-7.40,-9.73,1,7,0,0,0,0.00,0,0,3.84,6.4112,0
