sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,RPM,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,KNOCK_FLAG,ECT
0,826.640,10.17,14.7,11.052,255,0,-1.5625,158,0,13,75.2,2.57,1.16,0,6.66667,0,14.3647,13.775,-8.95836,1,7,0,0,0,0,0,0,1.536,0,185
1,826.680,10.17,14.7,7.61589,255,0,-1.5625,158,0,13,75.2,2.57,1.2,0,6.66667,0,14.3647,13.775,-8.95836,1,7,0,0,0,0,0,0,1.28,0,185
2,826.720,10.17,14.7,7.61589,255,0,-1.5625,158,0,13,75.2,2.57,1.1,0,6.66667,0,14.3647,13.775,-8.95836,1,7,0,0,0,0,0,0,1.28,0,185
3,826.760,10.17,14.7,7.61589,255,0,-1.5625,158,0,13,75.2,2.57,1.06,0,6.66667,0,14.3647,13.775,-8.95836,1,7,0,0,0,0,0,0,1.28,0,185
4,826.800,10.17,14.7,7.61589,255,0,-1.5625,158,0,13,75.2,2.57,1.14,0,6.66667,0,14.3647,13.775,-8.95836,1,7,0,0,0,0,0,0,1.28,0,185
5,826.840,10.17,14.7,7.61589,255,0,-1.5625,179,0,13,75.2,2.55,1.22,0,6.66667,0,14.3647,13.63,-8.95836,1,7,0,0,0,0,0,0,6.144,0,185
6,826.880,10.17,14.7,7.61589,255,0,-1.5625,179,0,13,75.2,2.55,1.16,0,6.66667,0,14.3647,13.63,-8.95836,1,7,0,0,0,0,0,0,6.144,0,185
7,826.920,10.17,14.7,7.61589,255,0,-1.5625,379.25,0,13,75.2,3.08,1.18,0,6.66667,0,14.3647,13.195,-8.95836,1,7,0,0,0,0,0,0,5.632,0,185
8,826.960,10.17,14.7,7.61589,255,0,-1.5625,691.5,0,20,75.2,2.88,1.22,0,6.66667,0,14.3647,12.615,-8.95836,1,7,0,0,0,0,0,0,5.376,0,185
9,827.000,21.3756,14.7,7.64102,255,0,-1.5625,1105.75,0,17.5,75.2,3.73,1.28,0,6.66667,0,14.3647,11.165,-8.84379,1,7,0,0,0,0,0,0,4.352,0,185
10,827.040,21.3756,14.7,7.64102,255,0,-1.5625,1383.75,0,17.5,75.2,4.49,1.32,0,6.66667,0,14.3647,10.005,-8.84379,1,7,0,0,0,0,0,0,3.584,0,185
11,827.080,21.335,14.7,7.70161,255,0,-1.5625,1558.5,0,17.5,75.2,5.27,1.38,0,6.66667,0,14.3647,8.99,-8.59096,1,7,0,0,0,0,0,0,3.328,0,185
12,827.120,21.3756,14.7,7.70555,255,0,-1.5625,1701.75,0,17.5,75.2,5.71,1.42,0,6.66667,0,14.3647,8.265,-8.64378,1,7,0,0,0,0,0,0,3.072,0,185
13,827.160,21.1648,14.7,7.70555,255,0,-1.5625,1816.5,0,17.5,75.2,6.11,1.44,0,6.66667,0,14.3647,7.395,-8.64378,1,7,0,0,0,0,0,0,3.072,0,185
14,827.200,21.335,14.7,7.70555,255,0,-1.5625,1889.75,0,17.5,75.2,6.22,1.44,0,6.66667,0,14.3647,7.105,-9.12467,1,7,0,0,0,0,0,0,3.072,0,185
15,827.240,21.4181,14.7,7.70753,255,0,-1.5625,1991,0,17.5,75.2,6.37,1.44,0,6.66667,0,14.3647,6.38,-9.46345,1,7,0,0,1,0,0,0,2.816,0,185
16,827.280,21.3756,14.7,7.70753,255,0,-1.5625,2042.5,0,16.5,75.2,6.5,1.46,0,6.66667,0,14.3647,5.945,-9.46345,1,7,0,0,1,0,0,0,2.816,0,185
17,827.320,21.335,14.7,7.92044,255,0,-.78125,2093.25,0,15.5,77,6.54,1.46,0,6.66667,0,14.2196,5.51,-9.57714,1,7,0,0,1,0,0,0,2.816,0,185
18,827.360,21.3756,14.7,7.92044,255,0,-.78125,2142.5,0,14.5,77,6.63,1.46,0,6.66667,0,14.2196,5.075,-9.57714,1,7,0,0,1,0,0,0,2.56,0,185
19,827.400,21.3756,14.7,8.12348,255,0,-.78125,2159.5,0,13.5,77,6.72,1.46,0,6.66667,0,14.2196,4.785,-9.57714,1,7,0,0,1,0,0,0,2.56,0,185
20,827.440,21.2073,14.7,8.31647,255,0,-.78125,2183.25,0,12.5,77,6.72,1.46,0,6.66667,0,14.2196,4.495,-9.57714,1,7,0,0,1,0,0,0,2.56,0,185
21,827.480,21.335,14.7,8.31647,255,0,-.78125,2177,0,11.5,77,6.72,1.46,0,6.66667,0,14.2196,4.205,-9.57714,1,7,0,0,1,0,0,0,2.56,0,185
22,827.520,21.3756,14.7,8.49721,255,0,-.78125,2177,0,10.5,77,6.72,1.46,0,6.66667,0,14.2196,4.06,-9.57714,1,7,0,0,2,0,0,0,2.304,0,185
23,827.560,21.4181,14.7,8.66598,255,0,-.78125,2164.75,0,9.5,77,6.91,1.46,0,6.66667,0,14.2196,3.915,-9.57714,1,7,0,0,1,0,0,0,2.304,0,185
24,827.600,21.1648,14.7,8.66598,255,0,-.78125,2142.5,0,9.5,77,6.81,1.46,0,6.66667,0,14.2196,3.915,-9.57714,1,7,0,0,2,0,0,0,2.304,0,185
25,827.640,21.3756,14.7,8.97068,255,0,-.78125,2133.5,0,9.5,77,6.91,1.46,0,6.66667,0,14.2196,3.77,-9.57714,1,7,0,0,2,0,0,0,2.304,0,185
