sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,RPM,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,KNOCK_FLAG,ECT
0,4148.000,10.17,14.7,7.61589,255,0,-.78125,174,0,13,82.4,2.36,1.16,0,6.66667,0,14.3647,13.775,-9.02068,1,7,0,0,0,0,0,0,6.144,0,183.2
1,4148.040,10.17,14.7,7.61589,255,0,-.78125,174,0,13,82.4,2.36,1.2,0,6.66667,0,14.3647,13.775,-9.02068,1,7,0,0,0,0,0,0,6.144,0,183.2
2,4148.080,10.17,14.7,7.61589,255,0,-.78125,174,0,13,82.4,2.36,1.08,0,6.66667,0,14.3647,13.775,-9.02068,1,7,0,0,0,0,0,0,6.144,0,183.2
3,4148.120,10.17,14.7,7.61589,255,0,-.78125,174,0,13,82.4,2.36,1.1,0,6.27451,0,14.3647,13.775,-9.02068,1,7,0,0,0,0,0,0,6.144,0,183.2
4,4148.160,10.17,14.7,7.61589,255,0,-.78125,191.75,0,13,82.4,2.55,1.2,0,6.66667,0,14.3647,13.63,-9.02068,1,7,0,0,0,0,0,0,6.144,0,183.2
5,4148.200,10.17,14.7,7.61589,255,0,-.78125,191.75,0,13,82.4,2.55,1.2,0,6.66667,0,14.3647,13.63,-9.02068,1,7,0,0,0,0,0,0,6.144,0,183.2
6,4148.240,10.17,14.7,7.61589,255,0,-.78125,400.25,0,13,93.2,3.1,1.2,0,6.27451,0,14.3647,13.195,-9.02068,1,7,0,0,0,0,0,0,5.632,0,183.2
7,4148.280,10.17,14.7,7.61589,255,0,-.78125,672.5,0,20,93.2,2.95,1.22,0,6.66667,0,14.3647,12.615,-9.02068,1,7,0,0,0,0,0,0,5.12,0,183.2
8,4148.320,10.17,14.7,7.63133,255,0,-.78125,881.5,0,18.5,93.2,3.27,1.28,0,6.66667,0,14.3647,11.89,-9.02068,1,7,0,0,0,0,0,0,4.608,0,183.2
9,4148.360,10.17,14.7,7.63133,255,0,-.78125,1207,0,17.5,93.2,4.22,1.3,0,6.66667,0,14.3647,10.73,-8.94576,1,7,0,0,0,0,0,0,4.096,0,183.2
10,4148.400,21.4607,14.7,7.70161,255,0,-.78125,1437.25,0,17.5,93.2,5.05,1.36,0,6.27451,0,14.3647,9.57,-8.65328,1,7,0,0,0,0,0,0,3.584,0,183.2
11,4148.440,21.3756,14.7,7.70161,255,0,-.78125,1574,0,17.5,93.2,5.5,1.4,0,6.27451,0,14.3647,8.7,-8.65328,1,7,0,0,0,0,0,0,3.328,0,183.2
12,4148.480,21.2924,14.7,7.70358,255,0,-.78125,1690.5,0,17.5,93.2,5.85,1.42,0,6.27451,0,14.3647,7.975,-8.65328,1,7,0,0,0,0,0,0,3.072,0,183.2
13,4148.520,21.3756,14.7,7.70555,255,0,-.78125,1779.5,0,17.5,93.2,5.96,1.42,0,6.27451,0,14.3647,7.395,-9.09581,1,7,0,0,0,0,0,0,3.072,0,183.2
14,4148.560,21.2499,14.7,7.70555,255,0,-.78125,1870.75,0,17.5,93.2,6.03,1.42,0,6.27451,0,14.3647,6.815,-9.09581,1,7,0,0,0,0,0,0,3.072,0,183.2
15,4148.600,21.5439,14.7,7.70555,255,0,-.78125,1933,0,17,93.2,6.03,1.42,0,6.27451,0,14.3647,6.38,-9.42419,1,7,0,0,0,0,0,0,2.816,0,183.2
16,4148.640,21.5032,14.7,8.11909,255,0,0,1996.25,0,16,93.2,6.14,1.44,0,6.27451,0,14.3647,5.8,-9.63019,1,7,0,0,0,0,0,0,2.816,0,183.2
17,4148.680,21.5032,14.7,8.11909,255,0,0,2023.75,0,15,93.2,6.11,1.44,0,6.66667,0,14.3647,5.365,-9.63019,1,7,0,0,0,0,0,0,2.56,0,183.2
18,4148.720,21.3756,14.7,8.48762,255,0,0,2043.25,0,14,93.2,6.11,1.44,0,6.66667,0,14.3647,5.075,-9.63945,1,7,0,0,0,0,0,0,2.56,0,183.2
19,4148.760,21.3756,14.7,8.48762,255,0,0,2070.5,0,13,93.2,6.18,1.44,0,6.66667,0,14.3647,4.785,-9.63945,1,7,0,0,1,0,0,0,2.304,0,183.2
20,4148.800,21.2924,14.7,8.95467,255,0,0,2065.75,0,12,93.2,6.22,1.44,0,6.66667,0,14.3647,4.495,-9.63945,1,7,0,0,0,0,0,0,2.304,0,183.2
21,4148.840,21.714,14.7,9.21506,255,0,0,2072.75,0,11,93.2,6.33,1.44,0,6.66667,0,14.3647,4.35,-9.63945,1,7,0,0,1,0,0,0,2.304,0,183.2
22,4148.880,21.4181,14.7,9.21506,255,0,0,2066.25,0,10.5,93.2,6.33,1.44,0,6.66667,0,14.3647,4.205,-9.63945,1,7,0,0,1,0,0,0,2.304,0,183.2
23,4148.920,21.3756,14.7,9.43749,255,0,0,2034,0,9.5,93.2,6.37,1.44,0,6.66667,0,14.3647,4.06,-9.63945,1,7,0,0,1,0,0,0,2.304,0,183.2
24,4148.960,21.4607,14.7,9.43749,255,0,0,2018.5,0,9.5,93.2,6.33,1.44,0,6.66667,0,14.3647,4.06,-9.63945,1,7,0,0,1,0,0,0,2.304,0,183.2
25,4149.000,21.2924,14.7,9.62455,255,0,0,2005.75,0,9.5,93.2,6.54,1.46,0,6.66667,0,14.3647,3.915,-9.63945,1,7,0,0,1,0,0,0,2.304,0,183.2
26,4149.040,21.2924,14.7,9.7809,255,0,0,1969.25,0,9.5,93.2,6.4,1.46,0,6.66667,0,14.3647,3.915,-9.61159,1,7,0,0,1,0,0,0,2.048,0,183.2
27,4149.080,21.2499,14.7,9.7809,255,0,0,1946,0,9.5,93.2,6.33,1.44,0,6.66667,0,14.3647,3.915,-9.61159,1,7,0,0,1,0,0,0,2.048,0,185
28,4149.120,21.335,14.7,9.91621,255,0,0,1922.75,0,9.5,93.2,6.25,1.44,0,6.66667,0,14.3647,3.915,-9.50655,1,7,0,0,1,0,0,0,2.048,0,185
29,4149.160,21.335,14.7,10.0252,255,0,0,1882.75,0,9.5,93.2,6.37,1.44,0,6.66667,0,14.3647,3.77,-9.39966,1,7,0,0,1,0,0,0,2.048,0,185
30,4149.200,21.4181,14.7,10.0252,255,0,0,1857,0,9.5,93.2,6.63,1.46,0,6.66667,0,14.3647,3.77,-9.39966,1,7,0,0,1,0,0,0,2.304,0,185
31,4149.240,21.335,14.7,10.1195,255,0,.78125,1822.25,0,9.5,93.2,6.81,1.46,0,6.66667,0,14.3647,3.77,-9.27153,1,7,0,0,1,0,0,0,2.304,0,185
32,4149.280,21.4181,14.7,10.1949,255,0,.78125,1794.75,0,9.5,93.2,7.09,1.46,0,6.66667,0,14.3647,3.915,-9.27153,1,7,0,0,1,0,0,0,2.304,0,185
33,4149.320,21.2499,14.7,10.1949,255,0,.78125,1770,0,9.5,93.2,6.81,1.46,0,6.66667,0,14.3647,3.915,-9.13367,1,7,0,0,1,0,0,0,2.304,0,185
34,4149.360,21.2924,14.7,10.2609,255,0,.78125,1724.25,0,9.5,93.2,6.63,1.46,0,6.66667,0,14.3647,3.915,-9.01584,1,7,0,0,1,0,0,0,2.304,0,185
35,4149.400,23.8202,14.7,10.2609,255,0,.78125,1697.25,0,9.5,93.2,6.54,1.46,0,6.66667,0,14.3647,3.915,-9.01584,1,7,0,0,1,0,0,0,2.304,0,185
36,4149.440,23.7776,14.7,10.3137,255,0,.78125,1677,0,9.5,93.2,6.4,1.44,0,6.66667,0,14.3647,3.915,-8.89332,1,7,0,0,1,0,0,0,2.304,0,185
37,4149.480,23.7776,14.7,10.3598,255,0,.78125,1658,0,9.5,93.2,6.37,1.44,0,6.66667,0,14.3647,3.915,-8.79624,1,7,0,0,1,0,0,0,2.304,0,185
38,4149.520,23.6945,14.7,10.3598,255,0,.78125,1638,0,9.5,93.2,6.33,1.44,0,6.27451,0,14.3647,3.915,-8.79624,1,7,0,0,1,0,0,0,2.304,0,185
39,4149.560,23.6945,14.7,10.3777,255,0,.78125,1619,0,9.5,93.2,6.33,1.44,0,6.27451,0,14.3647,3.915,-8.74686,1,7,0,0,1,0,0,0,2.304,0,185
40,4149.600,23.7351,14.7,10.4136,255,0,.78125,1600.75,0,9.5,93.2,6.33,1.44,0,6.27451,0,14.3647,3.915,-8.74686,1,7,0,0,1,0,0,0,2.304,0,185
41,4149.640,23.5668,14.7,10.4136,255,0,.78125,1584,0,9.5,93.2,6.33,1.44,0,6.27451,0,14.3647,3.915,-8.65523,1,7,0,0,1,0,0,0,2.304,0,185
