sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG
0,9.4,10.17,14.7,6.71101,255,0,0,,174,1.32758620689655,0,24.5,41,3.85,1.28,0,10.59,0,14.51,14.07,-0.44,-9.11,1,7,0,0,0,0,0,0,35.58,5.14,0
1,9.44,10.17,14.7,6.71101,255,0,0,,174,1.32758620689655,0,24.5,41,3.85,1.18,0,10.59,0,14.51,14.07,-0.44,-9.11,1,7,0,0,0,0,0,0,35.58,5.14,0
2,9.48,10.17,14.7,6.71101,255,0,0,,174,1.32758620689655,0,24.5,41,3.85,1.1,0,10.59,0,14.51,14.07,-0.44,-9.11,1,7,0,0,0,0,0,0,35.58,5.14,0
3,9.52,10.17,14.7,6.71101,255,0,0,,174,1.32758620689655,0,24.5,41,3.85,1.16,0,10.59,0,14.51,14.07,-0.44,-9.11,1,7,0,0,0,0,0,0,35.58,5.14,0
4,9.56,10.17,14.7,6.71101,255,0,0,,168,1.23214285714286,0,24.5,41,3.45,1.26,0,10.59,0,14.51,14.07,-0.44,-9.11,1,7,0,0,0,0,0,0,35.58,4.97,0
5,9.6,10.17,14.7,6.71401,255,0,0,,168,1.23214285714286,0,24.5,41,3.45,1.24,0,10.59,0,14.51,14.07,-0.44,-9.11,1,7,0,0,0,0,0,0,35.58,4.97,0
6,9.64,10.17,14.7,6.71401,255,0,0,,415,0.6,0,24.5,41,4.15,1.28,0,10.59,0,14.51,13.34,-1.17,-9.11,1,7,0,0,0,0,0,0,29.18,10.08,0
7,9.68,10.17,14.7,6.71401,255,0,0,,786,0.342748091603054,0,24.5,41,4.49,1.36,0,10.59,0,14.51,13.2,-1.31,-9.11,1,7,0,0,0,0,0,0,29.18,19.12,0
8,9.72,10.17,14.7,6.71401,255,0,0,,1250,0.3,0,25,41,6.25,1.46,0,10.59,0,14.51,11.31,-3.2,-9.11,1,7,0,0,0,0,0,0,21.25,22.14,0
9,9.76,10.17,14.7,6.7155,255,0,0,,1547,0.307175177763413,0,25,41,7.92,1.56,0,10.59,0,14.51,10.3,-4.21,-8.75,1,7,0,0,0,0,0,0,17.41,22.44,0
10,9.8,10.17,14.7,6.7155,255,0,0,,1761,0.317887563884157,0,20,41,9.33,1.62,0,10.59,0,14.51,9.43,-5.08,-8.75,1,7,0,0,0,0,0,0,14.08,20.66,0
11,9.84,10.17,14.7,6.72751,255,0,0,,1932,0.317701863354037,0,19.5,41,10.23,1.66,0,10.59,0,14.51,8.27,-6.24,-9.29,1,7,0,0,1,0,0,0,10.5,16.9,0
12,9.88,10.17,14.7,6.72751,255,0,0,,1992,0.32921686746988,0,19,41,10.93,1.68,0,10.59,0,14.51,7.69,-6.82,-9.29,1,7,0,0,2,0,0,0,8.7,14.45,0
13,9.92,10.17,14.7,6.73654,255,0,0,,2058,0.332069970845481,0,19,41,11.39,1.7,0,10.98,0,14.51,7.25,-7.26,-9.71,1,7,0,0,2,0,0,0,6.4,10.98,0
14,9.96,10.17,14.7,6.7456,255,0,0,,2115,0.333900709219858,0,18.5,41,11.77,1.72,0,10.98,0,14.51,6.67,-7.84,-9.73,1,7,0,0,3,0,0,0,4.86,8.57,0
15,10,10.17,14.7,6.7456,255,0,0,,2129,0.345514325974636,0,17,41,12.26,1.74,0,10.98,0,14.51,6.24,-8.27,-9.73,1,7,0,0,3,0,0,0,4.61,8.18,0
16,10.04,21.2924,14.7,6.75165,255,0,0,,2167,0.347485002307337,0,15.5,41,12.55,1.74,0,10.98,0,14.51,5.95,-8.56,-9.73,1,7,0,0,3,0,0,0,4.61,8.32,0
17,10.08,21.4607,14.7,6.75619,255,0,0,,2172,0.347790055248619,0,15,41,12.59,1.74,0,10.98,0,14.51,5.8,-8.71,-9.73,1,7,0,0,3,0,0,0,4.61,8.34,0
18,10.12,21.0391,14.7,6.75619,255,0,0,,2175,0.348965517241379,0,15,41,12.65,1.76,0,10.98,0,14.51,5.51,-9,-9.73,1,7,0,0,3,0,0,0,4.35,7.89,0
19,10.16,21.2499,14.7,6.76226,255,0,0,,2181,0.348005502063274,0,14.5,41,12.65,1.74,0,10.98,0,14.51,5.37,-9.14,-9.73,1,7,0,0,3,0,0,0,4.35,7.91,0
20,10.2,21.3756,14.7,6.76226,255,0,0,,2167,0.33502538071066,0,14.5,41,12.1,1.72,0,10.98,0,14.51,5.22,-9.29,-9.73,1,7,0,0,3,0,0,0,4.35,7.86,0
21,10.24,21.3756,14.7,6.9705,255,0,0,,2150,0.334604651162791,0,14.5,41,11.99,1.72,0,10.98,0,14.51,5.22,-9.29,-9.73,1,7,0,0,3,0,0,0,4.35,7.8,0
22,10.28,21.1242,14.7,6.97535,255,0,0,,2109,0.347368421052632,0,14.5,41,12.21,1.72,0,10.98,0,14.51,5.08,-9.43,-9.73,1,7,0,0,3,0,0,0,4.35,7.65,0
23,10.32,21.4181,14.7,6.97535,255,0,0,,2092,0.351625239005736,0,14.5,41,12.26,1.72,0,10.98,0,14.51,5.08,-9.43,-9.73,1,7,0,0,3,0,0,0,4.35,7.59,0
24,10.36,21.1648,14.7,6.97858,255,0,0,,2072,0.356467181467182,0,14,41,12.31,1.74,0,10.98,0,14.51,5.08,-9.43,-9.73,1,7,0,0,3,0,0,0,4.35,7.51,0
25,10.4,21.3756,14.7,7.17997,255,0,0,,2038,0.370657507360157,0,14,41,12.59,1.74,0,10.98,0,14.51,5.08,-9.43,-9.73,1,7,0,0,3,0,0,0,4.35,7.39,0
26,10.44,21.4181,14.7,7.17997,255,0,0,,2001,0.366116941529235,0,14,41,12.21,1.72,0,10.98,0,14.51,5.08,-9.43,-9.73,1,7,0,0,3,0,0,0,4.35,7.26,0
27,10.48,21.2499,14.7,7.18339,255,0,0,,1979,0.366851945426983,0,14,41,12.1,1.72,0,10.98,0,14.51,5.08,-9.43,-9.69,1,7,0,0,3,0,0,0,4.35,7.18,0
28,10.52,21.335,14.7,7.18339,255,0,0,,1935,0.371782945736434,0,13.5,41,11.99,1.72,0,10.98,0,14.51,5.08,-9.43,-9.69,1,7,0,0,3,0,0,0,4.35,7.02,0
29,10.56,21.1648,14.7,7.18682,255,0,0,,1903,0.379611140304782,0,13.5,41,12.04,1.72,0,10.98,0,14.51,5.08,-9.43,-9.57,1,7,0,0,3,0,0,0,4.35,6.9,0
30,10.6,21.3756,14.7,7.19026,255,0,0,,1880,0.38968085106383,0,13.5,41,12.21,1.72,0,10.98,0,14.51,5.22,-9.29,-9.44,1,7,0,0,3,0,0,0,4.61,7.22,0
31,10.64,21.2499,14.7,7.19026,255,0,0,,1847,0.39306984298863,0,13.5,41,12.1,1.72,0,10.59,0,14.51,5.22,-9.29,-9.44,1,7,0,0,3,0,0,0,4.61,7.09,0
32,10.68,21.3756,14.7,7.37882,255,0,0,,1822,0.398463227222832,0,13.5,41,12.1,1.72,0,10.59,0,14.51,5.22,-9.29,-9.36,1,7,0,0,3,0,0,0,4.61,7,0
33,10.72,21.4181,14.7,7.38063,255,0,0,,1798,0.401779755283649,0,13.5,41,12.04,1.72,0,10.59,0,14.51,5.37,-9.14,-9.23,1,7,0,0,3,0,0,0,4.61,6.9,0
34,10.76,21.0816,14.7,7.38063,255,0,0,,1776,0.405067567567568,0,13,41,11.99,1.72,0,10.59,0,14.51,5.37,-9.14,-9.23,1,7,0,0,3,0,0,0,4.61,6.82,0
35,10.8,21.4607,14.7,7.38425,255,0,0,,1761,0.408517887563884,0,13,41,11.99,1.72,0,10.59,0,14.51,5.37,-9.14,-9.15,1,7,0,0,3,0,0,0,4.61,6.76,0
36,10.84,21.3756,14.7,7.38425,255,0,0,,1745,0.408481375358166,0,13.5,41,11.88,1.72,0,10.59,0,14.51,5.51,-9,-9.15,1,7,0,0,3,0,0,0,4.86,7.07,0
37,10.88,21.0391,14.7,7.38425,255,0,0,,1731,0.413864818024263,0,13.5,41,11.94,1.72,0,10.59,0,14.51,5.51,-9,-9.08,1,7,0,0,3,0,0,0,4.86,7.01,0
38,10.92,21.1648,14.7,7.38788,255,0,0,,1720,0.414418604651163,0,13.5,41,11.88,1.72,0,10.59,0,14.51,5.51,-9,-9.08,1,7,0,0,3,0,0,0,4.61,6.6,0
39,10.96,21.335,14.7,7.38788,255,0,0,,1710,0.416842105263158,0,13.5,41,11.88,1.72,0,10.59,0,14.51,5.51,-9,-9.08,1,7,0,0,3,0,0,0,4.86,6.93,0
40,11,21.4181,14.7,7.56612,255,0,0,,1702,0.420916568742656,0,13.5,41,11.94,1.72,0,10.59,0,14.51,5.51,-9,-9.02,1,7,0,0,3,0,0,0,4.86,6.9,0
41,11.04,23.3986,14.7,7.56993,255,0,0,,1692,0.419503546099291,0,13.5,41,11.83,1.72,0,10.59,0,14.51,5.51,-9,-8.96,1,7,0,0,3,0,0,0,4.86,6.86,0
42,11.08,23.8202,14.7,7.56993,255,0,0,,1689,0.42202486678508,0,13.5,41,11.88,1.72,0,10.59,0,14.51,5.66,-8.85,-8.96,1,7,0,0,3,0,0,0,4.86,6.84,0
