rev,stutters,per_active_min,median_drop_pct,p10_drop_pct,rpm_med_at_event,load_med_at_event,in_boost_pct
20.10,83,1.56,-5.1,-11.604000000000001,3347.0,0.39,2.4096385542168677
20.11,180,2.97,-5.6850000000000005,-14.588999999999999,3389.0,0.42123292705334703,6.666666666666667
20.12,270,0.87,-5.879999999999999,-14.159,3200.5,0.394553392298985,0.3703703703703704
