rev,CL/OL,load_band,resid_mean,resid_med,resid_std,n
20.10,8,<0.5,0.3120079474559823,-0.2575000000000003,2.1617271163515435,28852
20.10,8,0.5-0.8,-0.24236796315250755,-0.2400000000000002,0.6615512334132457,16609
20.10,8,0.8-1.0,-0.08020819005939346,-0.14000000000000057,0.7115658622911306,6398
20.10,8,1.0-1.3,0.04276363577655799,-0.08999999999999986,0.8482102327509937,3097
20.10,10,<0.5,5.064132264421354,7.030000000000001,3.3133259515380837,11164
20.10,10,0.5-0.8,0.39299296617519525,0.08000000000000007,1.7603863590411455,1153
20.10,10,0.8-1.0,0.11278182608695655,-0.049999999999998934,1.3673944347427727,1150
20.10,10,1.0-1.3,0.026440415344678305,-0.0799999999999983,0.9320189065304302,3467
20.10,10,1.3-1.6,0.04582036585365839,-0.10000000000000142,1.0278581330359837,820
20.11,8,<0.5,0.7302376473192056,-0.05000000000000071,2.416199911630813,36146
20.11,8,0.5-0.8,-0.07403048169985522,-0.08999999999999986,0.7125824766444981,17978
20.11,8,0.8-1.0,0.06035962402942398,0.0,0.7068989926348801,4894
20.11,8,1.0-1.3,0.3825316455696204,0.2400000000000002,0.9308862803290047,2528
20.11,10,<0.5,4.745417243246496,6.979999999999999,3.489969317663447,16621
20.11,10,0.5-0.8,0.30465669351745306,0.08999999999999986,1.5870407485577587,2607
20.11,10,0.8-1.0,0.3356578947368421,0.23000000000000043,1.37134041953198,1216
20.11,10,1.0-1.3,0.3213341000575043,0.1999999999999993,1.1226278929420155,1739
20.11,10,1.3-1.6,0.9196681749622925,0.20999999999999908,2.119209767999199,663
20.11,10,>1.6,0.8817588652482269,0.21000000000000085,2.283228444389968,705
20.12,8,<0.5,0.9016812686603691,0.05000000000000071,2.475048496346949,122586
20.12,8,0.5-0.8,-0.10217671094089209,-0.10999999999999943,0.6600404436069173,89819
20.12,8,0.8-1.0,0.003074765925494743,-0.009999999999999787,0.5683675662737538,65257
20.12,8,1.0-1.3,0.5137454310900883,0.4900000000000002,0.6988082771487324,23255
20.12,8,1.3-1.6,0.7302797704447631,0.5299999999999994,1.1697380048201789,1394
20.12,10,<0.5,4.719139784946237,7.020000000000001,3.415099349461823,54312
20.12,10,0.5-0.8,0.10145357559593274,-0.09999999999999964,1.3336078252600012,11998
20.12,10,0.8-1.0,0.059308477913129216,0.030000000000001137,0.7381806432415455,24381
20.12,10,1.0-1.3,0.5062243600610273,0.4800000000000004,0.6199775694096383,47192
20.12,10,1.3-1.6,0.2514794990910926,0.14000000000000057,0.8735983088268681,9902
20.12,10,>1.6,0.09317302052785915,0.009999999999999787,0.9616431806742037,5115
