rev,load_band,resid_mean_AFR,resid_med_AFR,resid_std,n
20.10,<0.5,1.4906639484405262,0.02000000000000135,3.1183105739780532,44919
20.10,0.5-0.8,-0.21718620296280267,-0.22999999999999865,0.702916860904614,18496
20.10,0.8-1.0,-0.039614822923374024,-0.11519999999999975,0.8325713513898129,7765
20.10,1.0-1.3,0.016857797066746456,-0.08000000000000007,0.8031700561077916,6682
20.10,1.3-1.6,0.02217260556127689,-0.08999999999999986,0.997016139417552,971
20.11,<0.5,1.9993490835472327,0.2599999999999998,3.271143132736607,55322
20.11,0.5-0.8,-0.06409456355283294,-0.08999999999999986,0.7692943929888665,20896
20.11,0.8-1.0,0.15164604541895083,0.06999999999999851,0.8376969711946319,6385
20.11,1.0-1.3,0.2976433691756273,0.22000000000000064,0.852443523944848,4464
20.11,1.3-1.6,0.5447081712062256,0.22000000000000064,1.3703118759047979,1028
20.11,>1.6,0.7685446527012129,0.1899999999999995,1.9473659911448356,907
20.12,<0.5,2.032810414101484,0.370000000000001,3.180786565131038,185172
20.12,0.5-0.8,-0.11842238914465698,-0.120000000000001,0.659251300671422,103175
20.12,0.8-1.0,0.019313853725585983,0.0,0.607011103863844,90214
20.12,1.0-1.3,0.4929912552891398,0.4800000000000004,0.6015293327109311,70900
20.12,1.3-1.6,0.22807130850216745,0.1899999999999995,0.6065447740733598,11303
20.12,>1.6,0.07026699029126206,0.019999999999999574,0.697024155823105,5356
