rev,n_events,rise_p50_s,rise_p90_s,overshoot_med_psi,overshoot_p90_psi,overshoot_pos_rate
20.10,94,1.0800000000008367,2.720000000000806,1.2200000000000002,4.184553000000001,0.723404255319149
20.11,129,1.6000000000000227,3.168000000000029,2.0299999999999994,6.740000000000001,0.7829457364341085
20.12,145,1.6800000000000637,3.503999999999996,1.5499999999999998,6.927999999999998,0.7586206896551724
