rev,regime,n_samples,peak_hz,peak_power,rpm_std
20.10,idle,21313,0.048828125,2897.0301502299026,57.920681051264964
20.10,cruise,29510,0.048828125,155925.82623768153,364.13446740438775
20.11,idle,11554,0.048828125,6487.118565024994,77.64033066505446
20.11,cruise,20539,0.048828125,137972.50865916844,367.9939064960114
20.12,idle,30124,0.048828125,6005.566247320599,55.09245632870563
20.12,cruise,37965,0.048828125,84307.23930681811,170.89564673117707
