sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG,ECT
2,0.12,14.26,14.36,14.36,31,0,-7.81,-7.81,799,0.334918648310388,0,14,93.2,4.46,1.28,0,0.39,0,14.22,5.08,-9.14,-8.88,1,8,0,0,0,0,0,0,2.3,1.53408,0,177.8
3,0.16,14.3,14.36,14.36,31,0,-7.81,-7.81,804,0.33144634525661,0,13.5,93.2,4.44,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.5432,0,177.8
4,0.2,14.21,14.36,14.37,31,0,-7.81,-7.81,821,0.324383561643836,0,11,93.2,4.44,1.28,0,0.39,0,14.22,5.22,-9,-8.86,1,8,0,0,0,0,0,0,2.3,1.5768,0,177.8
5,0.24,14.38,14.36,14.37,31,0,-7.81,-7.81,816,0.326470588235294,0,11.5,93.2,4.44,1.28,0,0.39,0,14.22,5.08,-9.14,-8.86,1,8,0,0,0,0,0,0,2.3,1.56672,0,177.8
6,0.28,14.38,14.36,14.36,31,0,-7.81,-7.81,808,0.32970297029703,0,12,93.2,4.44,1.28,0,0.39,0,14.22,5.08,-9.14,-8.87,1,8,0,0,0,0,0,0,2.3,1.55136,0,177.8
7,0.32,14.47,14.36,14.36,31,0,-7.81,-7.81,784,0.339904306220096,0,14.5,93.2,4.44,1.28,0,0.39,0,14.22,5.08,-9.14,-8.87,1,8,0,0,0,0,0,0,2.3,1.5048,0,177.8
8,0.36,14.38,14.36,14.36,31,0,-7.81,-7.81,778,0.342416452442159,0,15,93.2,4.44,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.49376,0,177.8
9,0.4,14.47,14.47,14.36,31,0,-7.81,-7.81,777,0.34307791371539,0,15.5,93.2,4.44,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.49088,0,177.8
10,0.44,14.42,14.47,14.36,31,0,-7.81,-7.81,783,0.34187160651549,0,14.5,93.2,4.46,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.50288,0,177.8
11,0.48,14.38,14.36,14.36,31,0,-7.81,-7.81,789,0.339163498098859,0,14,93.2,4.46,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.51488,0,177.8
12,0.52,14.42,14.36,14.37,31,0,-7.81,-7.81,803,0.33196261682243,0,12.5,93.2,4.44,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.5408,0,177.8
13,0.56,14.42,14.36,14.37,31,0,-7.81,-7.81,796,0.336286522148916,0,13,93.2,4.46,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.52784,0,177.8
14,0.6,14.42,14.36,14.37,31,0,-7.81,-7.81,801,0.332584269662921,0,12.5,93.2,4.44,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.53792,0,177.8
15,0.64,14.38,14.36,14.37,31,0,-7.81,-7.81,795,0.334988997170701,0,13,93.2,4.44,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.52688,0,177.8
16,0.68,14.38,14.36,14.37,31,0,-7.81,-7.81,804,0.329748212620454,0,12,93.2,4.42,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.54416,0,177.8
17,0.72,14.89,14.36,14.37,31,0,-7.81,-7.81,796,0.33607535321821,0,13,93.2,4.46,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.5288,0,177.8
18,0.76,14.8,14.36,14.37,31,0,-7.81,-7.81,797,0.335864449325384,0,13,93.2,4.46,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.52976,0,177.8
19,0.8,14.85,14.36,14.37,31,0,-7.81,-7.81,806,0.332009925558313,0,12,93.2,4.46,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.54752,0,177.8
20,0.84,14.76,14.36,14.37,31,0,-7.81,-7.81,796,0.336180904522613,0,13,93.2,4.46,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.52832,0,177.8
21,0.88,14.76,14.36,14.37,31,0,-7.81,-7.81,804,0.332835820895522,0,12,93.2,4.46,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.54368,0,177.8
22,0.92,14.72,14.36,14.37,31,0,-7.81,-7.81,799,0.333521126760563,0,12.5,93.2,4.44,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.5336,0,177.8
23,0.96,14.76,14.36,14.37,31,0,-7.81,-7.81,798,0.33373003445036,0,12.5,93.2,4.44,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.53264,0,177.8
24,1,14.68,14.36,14.37,31,0,-7.81,-7.81,794,0.33551637279597,0,13,93.2,4.44,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.52448,0,177.8
25,1.04,14.72,14.36,14.37,31,0,-7.81,-7.81,798,0.333939204011282,0,12.5,93.2,4.44,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.53168,0,177.8
26,1.08,14.8,14.36,14.37,31,0,-7.81,-7.81,794,0.335410764872521,0,13,93.2,4.44,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.52496,0,177.8
27,1.12,14.72,14.36,14.37,31,0,-7.81,-7.81,807,0.328624535315985,0,12,93.2,4.42,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.54944,0,177.8
28,1.16,14.72,14.36,14.37,31,0,-7.81,-7.81,798,0.333834586466166,0,12.5,93.2,4.44,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.53216,0,177.8
29,1.2,14.72,14.36,14.37,31,0,-7.81,-7.81,803,0.331859233883525,0,12,93.2,4.44,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.54128,0,177.8
30,1.24,14.59,14.36,14.37,31,0,-7.81,-7.81,801,0.332584269662921,0,12.5,93.2,4.44,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.53792,0,177.8
31,1.28,14.76,14.36,14.37,31,0,-7.81,-7.81,805,0.32933871468488,0,12,93.2,4.42,1.28,0,0.39,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.54608,0,177.8
32,1.32,14.76,14.36,14.36,31,0,-7.81,-7.81,811,0.328382126348228,0,11.5,93.2,4.44,1.28,0,0.78,0,14.22,5.22,-9,-8.88,1,8,0,0,0,0,0,0,2.3,1.5576,0,177.8
33,1.36,14.76,14.36,14.37,31,-0.78,-7.81,-8.59,806,0.331906976744186,0,12,93.2,4.46,1.28,0,0.78,0,14.22,5.22,-9,-8.87,1,8,0,0,0,0,0,0,2.3,1.548,0,177.8
