sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG,ECT
25,736.16,22.56,14.70,8.50,255,0.00,-10.16,,2082,0.250978508824589,0,2.5,116.6,8.71,1.58,0.00,6.27,0.00,14.22,4.64,-9.58,-9.53,1,7,0,0,1,0.00,0,0,2.82,4.88634666666667,0,203
26,736.2,22.64,14.70,8.50,255,0.00,-10.16,,2068,0.255288287199323,0,8.5,116.6,8.8,1.58,0.00,6.27,0.00,14.22,4.64,-9.58,-9.53,1,7,0,0,1,0.00,0,0,2.82,4.85349333333333,0,203
27,736.24,22.68,14.70,8.67,255,0.00,-10.16,,2072,0.259811730629978,0,8.5,116.6,8.97,1.58,0.00,6.67,0.00,14.22,4.50,-9.72,-9.53,1,7,0,0,1,0.00,0,0,2.82,4.86112,0,203
28,736.28,22.68,14.70,8.67,255,0.00,-10.16,,2047,0.260251556966663,0,8.5,116.6,8.88,1.58,0.00,6.67,0.00,14.22,4.50,-9.72,-9.53,1,7,0,0,1,0.00,0,0,2.82,4.80421333333333,0,203
29,736.32,22.51,14.70,8.83,255,0.00,-10.16,,2042,0.268821153139919,0,8.5,116.6,9.15,1.58,0.00,6.67,0.00,14.22,4.50,-9.72,-9.53,1,7,0,0,1,0.00,0,0,2.82,4.79248,0,203
30,736.36,22.51,14.70,8.83,255,0.00,-9.38,,2046,0.273607038123167,0,8.5,118.4,9.33,1.6,0.00,6.67,0.00,14.22,4.50,-9.72,-9.53,1,7,0,0,1,0.00,0,0,2.82,4.80128,0,203
31,736.4,22.64,14.70,8.83,255,0.00,-9.38,,2018,0.281006071118821,0,8.5,118.4,9.45,1.6,0.00,6.27,0.00,14.22,4.50,-9.72,-9.53,1,7,0,0,1,0.00,0,0,2.82,4.73498666666667,0,203
32,736.44,22.51,14.70,8.98,255,0.00,-9.38,,2015,0.281424494354138,0,8.5,118.4,9.45,1.6,0.00,6.67,0.00,14.22,4.35,-9.87,-9.53,1,7,0,0,1,0.00,0,0,2.82,4.72794666666667,0,203
33,736.48,22.60,14.70,9.12,255,0.00,-9.38,,2002,0.283216783216783,0,8.5,118.4,9.45,1.6,0.00,6.67,0.00,14.22,4.35,-9.87,-9.53,1,7,0,0,1,0.00,0,0,2.82,4.69802666666667,0,203
34,736.52,22.51,14.70,9.12,255,0.00,-9.38,,1980,0.282727272727273,0,8.5,118.4,9.33,1.58,0.00,6.27,0.00,14.22,4.35,-9.87,-9.53,1,7,0,0,1,0.00,0,0,2.82,4.6464,0,203
35,736.56,22.43,14.70,9.12,255,0.00,-8.59,,1973,0.280993411049164,0,8.5,118.4,9.24,1.58,0.00,6.67,0.00,14.22,4.35,-9.87,-9.50,1,7,0,0,1,0.00,0,0,2.82,4.62997333333333,0,203
36,736.6,24.32,14.70,9.12,255,0.00,-8.59,,1949,0.281682914315033,0,8.5,118.4,9.15,1.58,0.00,6.27,0.00,14.22,4.50,-9.72,-9.50,1,7,0,0,1,0.00,0,0,2.82,4.57365333333333,0,203
37,736.64,24.28,14.70,9.25,255,0.00,-8.59,,1890,0.290553056364118,0,8.5,118.4,9.15,1.58,0.00,6.27,0.00,14.22,4.50,-9.72,-9.36,1,7,0,0,1,0.00,0,0,2.82,4.43402666666667,0,203
38,736.68,23.86,14.70,9.37,255,0.00,-8.59,,1787,0.307175828787243,0,8.5,118.4,9.15,1.58,0.00,6.27,0.00,14.22,4.50,-9.72,-9.01,1,7,0,0,1,0.00,0,0,2.82,4.19408,0,203
39,736.72,23.74,14.70,9.37,255,0.00,-8.59,,1772,0.309906858594412,0,8.5,118.4,9.15,1.58,0.00,6.27,0.00,14.22,4.50,-9.72,-9.01,1,7,0,0,1,0.00,0,0,2.82,4.15712,0,203
