sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG
0,38299.6,10.17,14.7,11.052,255,0,-1.5625,-8.67,181.25,0.87,0,13,82.4,2.62,1.16,0,6.66667,0,14.5098,13.92,-0.59,-9.09857,1,7,0,0,0,0,0,0,6.144,0.93,0
1,38299.64,10.17,14.7,7.61589,255,0,-1.5625,25.11,181.25,0.87,0,13,82.4,2.62,1.18,0,6.66667,0,14.5098,13.92,-0.59,-9.09857,1,7,0,0,0,0,0,0,6.144,0.93,0
2,38299.68,10.17,14.7,7.61589,255,0,-1.5625,25.11,181.25,0.87,0,13,82.4,2.62,1.06,0,6.66667,0,14.5098,13.92,-0.59,-9.09857,1,7,0,0,0,0,0,0,6.144,0.93,0
3,38299.72,10.17,14.7,7.61589,255,0,-1.5625,25.11,181.25,0.87,0,13,82.4,2.62,1.08,0,6.66667,0,14.5098,13.92,-0.59,-9.09857,1,7,0,0,0,0,0,0,6.144,0.93,0
4,38299.76,10.17,14.7,7.61589,255,0,-1.5625,25.11,195,0.82,0,13,82.4,2.66,1.2,0,6.66667,0,14.5098,13.775,-0.73,-9.09857,1,7,0,0,0,0,0,0,6.144,1.00,0
5,38299.8,10.17,14.7,7.61589,255,0,-1.5625,25.11,195,0.82,0,13,82.4,2.66,1.2,0,6.66667,0,14.5098,13.775,-0.73,-9.09857,1,7,0,0,0,0,0,0,6.144,1.00,0
6,38299.84,10.17,14.7,7.61589,255,0,-1.5625,25.11,393.75,0.51,0,13,82.4,3.33,1.18,0,6.66667,0,14.5098,13.05,-1.46,-9.09857,1,7,0,0,0,0,0,0,5.888,1.93,0
7,38299.88,10.17,14.7,7.61589,255,0,-1.5625,25.11,702,0.26,0,20,82.4,3.07,1.22,0,6.66667,0,14.5098,12.905,-1.60,-9.09857,1,7,0,0,0,0,0,0,5.12,3.00,0
8,38299.92,10.17,14.7,7.61589,255,0,-1.5625,25.11,913.25,0.23,0,18,82.4,3.57,1.28,0,6.66667,0,14.5098,11.745,-2.76,-9.09857,1,7,0,0,0,0,0,0,4.608,3.51,0
9,38299.96,10.17,14.7,7.67608,255,0,-1.5625,24.52,1241.75,0.22,0,17.5,82.4,4.64,1.32,0,6.66667,0,14.5098,10.44,-4.07,-8.83342,1,7,0,0,0,0,0,0,3.84,3.97,0
10,38300,22.683,14.7,7.70161,255,0,-1.5625,66.05,1441.25,0.23,0,17.5,82.4,5.45,1.36,0,6.66667,0,14.5098,9.425,-5.08,-8.73117,1,7,0,0,0,0,0,0,3.328,4.00,0
